O14733 Q9UQF2
O14807 P04049
O14807 P10398
O14807 P15056
O14827 O14807
O14827 P01111
O14827 P01112
O14827 P01116
O14827 P10301
O14827 P62070
O14920 P19838
O14920 Q00653
O14920 Q01201
O14920 Q04206
O14944 P00533
O14944 Q15303
O15111 P19838
O15111 Q00653
O15111 Q01201
O15111 Q04206
O15123 P00533
O15123 P06213
O15123 P07333
O15123 P08069
O15123 P08138
O15123 P08581
O15123 P09619
O15123 P10721
O15123 P11362
O15123 P16234
O15123 P17948
O15123 P21802
O15123 P22455
O15123 P22607
O15123 P29317
O15123 P35916
O15123 P35968
O15123 Q02763
O15264 O75582
O15264 O75676
O15264 P04637
O15264 P15336
O15264 P19419
O15264 P28324
O15264 P30305
O15264 P35638
O15264 P49137
O15264 P61244
O15264 Q06413
O15264 Q16644
O15264 Q8IW41
O15520 P00533
O15520 P06213
O15520 P07333
O15520 P08069
O15520 P08138
O15520 P08581
O15520 P09619
O15520 P10721
O15520 P11362
O15520 P16234
O15520 P17948
O15520 P21802
O15520 P22455
O15520 P22607
O15520 P29317
O15520 P35916
O15520 P35968
O15520 Q02763
O43320 P00533
O43320 P06213
O43320 P07333
O43320 P08069
O43320 P08138
O43320 P08581
O43320 P09619
O43320 P10721
O43320 P11362
O43320 P16234
O43320 P17948
O43320 P21802
O43320 P22455
O43320 P22607
O43320 P29317
O43320 P35916
O43320 P35968
O43320 Q02763
O43915 P00533
O43915 P04626
O43915 P06213
O43915 P07333
O43915 P08069
O43915 P08138
O43915 P08581
O43915 P09619
O43915 P10721
O43915 P11362
O43915 P16234
O43915 P17948
O43915 P21802
O43915 P22455
O43915 P22607
O43915 P29317
O43915 P35916
O43915 P35968
O43915 Q02763
O43921 P00533
O43921 P06213
O43921 P07333
O43921 P08069
O43921 P08138
O43921 P08581
O43921 P09619
O43921 P10721
O43921 P11362
O43921 P16234
O43921 P17948
O43921 P21802
O43921 P22455
O43921 P22607
O43921 P29317
O43921 P35916
O43921 P35968
O43921 Q02763
O60258 P00533
O60258 P06213
O60258 P07333
O60258 P08069
O60258 P08138
O60258 P08581
O60258 P09619
O60258 P10721
O60258 P11362
O60258 P16234
O60258 P17948
O60258 P21802
O60258 P22455
O60258 P22607
O60258 P29317
O60258 P35916
O60258 P35968
O60258 Q02763
O75582 P18848
O75676 P18848
O75688 O43318
O76093 P00533
O76093 P06213
O76093 P07333
O76093 P08069
O76093 P08138
O76093 P08581
O76093 P09619
O76093 P10721
O76093 P11362
O76093 P16234
O76093 P17948
O76093 P21802
O76093 P22455
O76093 P22607
O76093 P29317
O76093 P35916
O76093 P35968
O76093 Q02763
O95267 O14807
O95267 P01111
O95267 P01112
O95267 P01116
O95267 P10301
O95267 P62070
O95750 P00533
O95750 P06213
O95750 P07333
O95750 P08069
O95750 P08138
O95750 P08581
O95750 P09619
O95750 P10721
O95750 P11362
O95750 P16234
O95750 P17948
O95750 P21802
O95750 P22455
O95750 P22607
O95750 P29317
O95750 P35916
O95750 P35968
O95750 Q02763
P00533 P62993
P01111 P04049
P01111 P10398
P01111 P15056
P01112 P04049
P01112 P10398
P01112 P15056
P01116 P04049
P01116 P10398
P01116 P15056
P01127 P00533
P01127 P04626
P01127 P06213
P01127 P07333
P01127 P08069
P01127 P08138
P01127 P08581
P01127 P09619
P01127 P10721
P01127 P11362
P01127 P16234
P01127 P17948
P01127 P21802
P01127 P22455
P01127 P22607
P01127 P29317
P01127 P35916
P01127 P35968
P01127 Q02763
P01133 P00533
P01133 P04626
P01133 P06213
P01133 P07333
P01133 P08069
P01133 P08138
P01133 P08581
P01133 P09619
P01133 P10721
P01133 P11362
P01133 P16234
P01133 P17948
P01133 P21802
P01133 P22455
P01133 P22607
P01133 P29317
P01133 P35916
P01133 P35968
P01133 Q02763
P01135 P00533
P01135 P04626
P01135 P08069
P01135 P09619
P01135 P11362
P01135 P16234
P01135 P21802
P01137 P36897
P01137 P37173
P01138 P00533
P01138 P04629
P01138 P06213
P01138 P07333
P01138 P08069
P01138 P08138
P01138 P08581
P01138 P09619
P01138 P10721
P01138 P11362
P01138 P16234
P01138 P17948
P01138 P21802
P01138 P22455
P01138 P22607
P01138 P29317
P01138 P35916
P01138 P35968
P01138 Q02763
P01138 Q16620
P01308 P00533
P01308 P04626
P01308 P06213
P01308 P07333
