A6NHX0 Q8WTX7
O14640 P49841
O14641 P49841
O15530 P31749
O15530 P31751
O15530 Q9Y243
O60353 O75197
O60353 O75581
O75084 O75197
O75084 O75581
O75197 O00144
O75197 Q14332
O75197 Q9ULW2
O75581 O00144
O75581 Q14332
O75581 Q9ULW2
P01111 P04049
P01111 P15056
P01112 P04049
P01112 P15056
P01116 P04049
P01116 P15056
P01308 P06213
P01308 P08069
P04049 P36507
P04049 Q02750
P05019 P06213
P05019 P08069
P06213 P35568
P06213 P62993
P08069 P35568
P08069 P62993
P08195 Q01650
P15056 P36507
P15056 Q02750
P15313 Q6IAA8
P21281 Q6IAA8
P23443 P23588
P23443 P35568
P23443 P62753
P27361 P51812
P27361 Q15349
P27361 Q15418
P27361 Q9UK32
P28482 P51812
P28482 Q15349
P28482 Q15418
P28482 Q9UK32
P31749 O15111
P31751 O15111
P35568 O00329
P35568 O00459
P35568 P27986
P35568 P42336
P35568 P42338
P35568 Q92569
P36507 P27361
P36507 P28482
P36543 Q9UHA4
P38606 Q6IAA8
P42345 P05771
P42345 P17252
P42345 Q13322
P58004 P55735
P58004 Q6PJI9
P58004 Q9NXC5
P62993 Q07889
P85299 Q6R327
Q02750 P27361
Q02750 P28482
Q07889 P01111
Q07889 P01112
Q07889 P01116
Q07890 P01111
Q07890 P01112
Q07890 P01116
Q12980 Q7L523
Q13322 P06213
Q13322 P08069
Q13467 O75197
Q13467 O75581
Q13541 A6NMX2
Q13541 O60573
Q13541 P06730
Q15831 P54646
Q15831 Q13131
Q8N8N0 Q7L523
Q8NBW4 O43504
Q8NBW4 Q0VGL1
Q8NBW4 Q6IAA8
Q8NBW4 Q9UHA4
Q8NBW4 Q9Y2Q5
Q8TF40 Q8NFG4
Q8WTW4 Q7L523
Q92997 P49841
Q96B36 Q8N122
Q96S15 O75140
Q96S15 Q8WTW4
Q9H461 O75197
Q9H461 O75581
Q9HB90 Q5VZM2
Q9HB90 Q7L523
Q9NPG1 O75197
Q9NPG1 O75581
Q9NQL2 Q5VZM2
Q9NQL2 Q7L523
Q9P278 Q8NFG4
Q9UBS0 P23588
Q9UBS0 P35568
Q9UBS0 P62753
Q9ULV1 O75197
Q9ULV1 O75581
Q9UP38 O75197
Q9UP38 O75581
Q9Y243 O15111
Q9Y4R8 O43156
