O00206 Q8IUC6
O14920 P25963
O14920 Q15653
O14920 Q9Y6K9
O15111 P25963
O15111 Q15653
O15111 Q9Y6K9
O15264 P05412
O15553 O43586
O15553 Q9ULZ3
O43318 O14920
O43318 O15111
O43318 P28482
O43318 P45983
O43318 Q15750
O43318 Q16539
O43318 Q8N5C8
O43318 Q9NYJ8
O43586 O15553
O94817 O95166
O95140 Q7Z434
P01562 P17181
P01562 P48551
P01563 P17181
P01563 P48551
P01566 P17181
P01566 P48551
P01567 P17181
P01567 P48551
P01568 P17181
P01568 P48551
P01569 P17181
P01569 P48551
P01570 P17181
P01570 P48551
P01571 P17181
P01571 P48551
P01574 P17181
P01574 P48551
P04839 P13498
P05013 P17181
P05013 P48551
P05014 P17181
P05014 P48551
P05015 P17181
P05015 P48551
P05412 P01584
P07900 Q9Y2Z0
P08238 Q9Y2Z0
P10599 Q9H3M7
P13498 P04839
P17181 P23458
P17181 P29597
P19838 P01375
P19838 P01562
P19838 P01563
P19838 P01566
P19838 P01567
P19838 P01568
P19838 P01569
P19838 P01570
P19838 P01571
P19838 P01574
P19838 P01584
P19838 P05013
P19838 P05014
P19838 P05015
P19838 P05231
P19838 P10145
P19838 P32881
P19838 Q15653
P23458 P29597
P23458 P42224
P23458 P52630
P25963 P19838
P25963 Q04206
P27361 P05412
P28482 P05412
P29466 P01584
P29466 Q9ULZ3
P29597 P23458
P32881 P17181
P32881 P48551
P45983 P05412
P45984 P05412
P48551 P23458
P48551 P29597
P53778 P05412
P53779 P05412
P61586 Q16512
P61586 Q16513
Q00978 P42224
Q00978 P52630
Q04206 P01375
Q04206 P01562
Q04206 P01563
Q04206 P01566
Q04206 P01567
Q04206 P01568
Q04206 P01569
Q04206 P01570
Q04206 P01571
Q04206 P01574
Q04206 P01584
Q04206 P05013
Q04206 P05014
Q04206 P05015
Q04206 P05231
Q04206 P09341
Q04206 P10145
Q04206 P13500
Q04206 P13501
Q04206 P19875
Q04206 P32881
Q04206 Q14116
Q04206 Q15653
Q13075 Q9NPP4
Q13114 Q14164
Q13158 Q14790
Q14164 Q14653
Q14164 Q92985
Q14653 P01562
Q14653 P01563
Q14653 P01566
Q14653 P01567
Q14653 P01568
Q14653 P01569
Q14653 P01570
Q14653 P01571
Q14653 P01574
Q14653 P05013
Q14653 P05014
Q14653 P05015
Q14653 P32881
Q15653 P19838
Q15653 Q04206
Q15759 P05412
Q16539 P05412
Q16666 Q86WV6
Q16666 Q9ULZ3
Q7Z434 O95140
Q7Z434 Q8IWA4
Q86UT6 Q7Z434
Q8IWA4 Q7Z434
Q8N5C8 O43318
Q92985 P01574
Q96P20 Q9ULZ3
Q99836 Q9NWZ3
Q9H1Y0 Q676U5
Q9H3M7 P10599
Q9HC29 O43353
Q9HC29 Q9C000
Q9NYJ8 O43318
Q9UHD2 P19838
Q9UHD2 Q04206
Q9UHD2 Q14653
Q9UHD2 Q92985
Q9ULZ3 P29466
Q9ULZ3 Q16666
Q9ULZ3 Q96P20
Q9Y239 O43353
Q9Y2Z0 P07900
Q9Y2Z0 P08238
Q9Y4K3 Q9Y6K9
Q9Y6K9 O14920
Q9Y6K9 O15111
