O00418 P13639
O14974 P14649
O14974 P24844
O14974 P60660
O60237 P14649
O60237 P24844
O60237 P60660
O75116 O14974
O75116 O60237
O75116 P36873
O75116 P62136
O75116 P62140
O75116 Q9BZL4
O95467 O43306
O95467 O60266
O95467 O60503
O95467 O95622
O95467 P40145
O95467 P51828
O95467 Q08462
O95467 Q08828
O95467 Q8NFM4
P00533 P27361
P00533 P28482
P01111 P04049
P01112 P04049
P01116 P04049
P01160 P16066
P01160 P20594
P04049 P36507
P04049 Q02750
P04899 O43306
P04899 O60266
P04899 O60503
P04899 O95622
P04899 P12931
P04899 P40145
P04899 P48051
P04899 P48544
P04899 P48549
P04899 P48736
P04899 P51828
P04899 Q00722
P04899 Q01970
P04899 Q08462
P04899 Q08828
P04899 Q15147
P04899 Q8NFM4
P04899 Q8WYR1
P04899 Q92806
P04899 Q9NQ66
P05129 P04049
P05129 P28907
P05771 P04049
P05771 P28907
P08754 O43306
P08754 O60266
P08754 O60503
P08754 O95622
P08754 P12931
P08754 P40145
P08754 P48051
P08754 P48544
P08754 P48549
P08754 P48736
P08754 P51828
P08754 Q00722
P08754 Q01970
P08754 Q08462
P08754 Q08828
P08754 Q15147
P08754 Q8NFM4
P08754 Q8WYR1
P08754 Q92806
P08754 Q9NQ66
P09471 O43306
P09471 O60266
P09471 O60503
P09471 O95622
P09471 P12931
P09471 P40145
P09471 P48051
P09471 P48544
P09471 P48549
P09471 P48736
P09471 P51828
P09471 Q00722
P09471 Q01970
P09471 Q08462
P09471 Q08828
P09471 Q15147
P09471 Q8NFM4
P09471 Q8WYR1
P09471 Q92806
P09471 Q9NQ66
P16298 O95644
P16298 Q12968
P16298 Q13469
P16298 Q14934
P17252 P04049
P17252 P28907
P27361 P0C869
P27361 P47712
P27361 Q3MJ16
P27361 Q68DD2
P27361 Q86XP0
P27361 Q9UP65
P27482 P48454
P27482 P63098
P27482 Q08209
P27482 Q13554
P27482 Q13555
P27482 Q13557
P27482 Q14012
P27482 Q15746
P27482 Q16566
P27482 Q32MK0
P27482 Q86YV6
P27482 Q8IU85
P27482 Q96NX5
P27482 Q96RR4
P27482 Q9H1R3
P27482 Q9UQM7
P28482 P0C869
P28482 P47712
P28482 Q3MJ16
P28482 Q68DD2
P28482 Q86XP0
P28482 Q9UP65
P30559 O00305
P30559 O60359
P30559 O60840
P30559 P54284
P30559 P54289
P30559 P61586
P30559 P62955
P30559 Q01668
P30559 Q02641
P30559 Q06432
P30559 Q08289
P30559 Q13698
P30559 Q13936
P30559 Q7Z3S7
P30559 Q8IZS8
P30559 Q8WXS5
P30559 Q9BXT2
P30559 Q9NY47
P30559 Q9UBN1
P30559 Q9UF02
P30559 Q9Y698
P36507 P27361
P36507 P28482
P36873 P14649
P36873 P24844
P36873 P60660
P48454 O95644
P48454 Q12968
P48454 Q13469
P48454 Q14934
P48736 P00533
P50148 P01111
P50148 P01112
P50148 P01116
P50148 P48050
P50148 P63252
P50148 Q00722
P50148 Q01970
P50148 Q14500
P50148 Q15147
P50148 Q9NQ66
P50148 Q9UNX9
P60660 P60709
P60709 P14649
P60709 P24844
P62136 P14649
P62136 P24844
P62136 P60660
P62140 P14649
P62140 P24844
P62140 P60660
P63092 O43306
P63092 O60266
P63092 O60503
P63092 O95622
P63092 P40145
P63092 P51828
P63092 Q08462
P63092 Q08828
P63092 Q8NFM4
P63096 O43306
P63096 O60266
P63096 O60503
P63096 O95622
P63096 P12931
P63096 P40145
P63096 P48051
P63096 P48544
P63096 P48549
P63096 P48736
P63096 P51828
P63096 Q00722
P63096 Q01970
P63096 Q08462
P63096 Q08828
P63096 Q15147
P63096 Q8NFM4
P63096 Q8WYR1
P63096 Q92806
P63096 Q9NQ66
P63098 O95644
P63098 Q12968
P63098 Q13469
P63098 Q14934
P63261 P14649
P63261 P24844
P63261 P60660
Q00722 P00533
Q01970 P00533
Q02750 P27361
Q02750 P28482
Q08209 O95644
Q08209 Q12968
Q08209 Q13469
Q08209 Q14934
Q13163 Q13164
Q13464 O14974
Q13464 O60237
Q13464 P36873
Q13464 P62136
Q13464 P62140
Q13464 Q9BZL4
Q13554 P29474
Q13555 P29474
Q13557 P29474
Q14012 P29474
Q15746 P14649
Q15746 P24844
Q15746 P60660
Q16566 P29474
Q32MK0 P14649
Q32MK0 P24844
Q32MK0 P60660
Q86YV6 P14649
Q86YV6 P24844
Q86YV6 P60660
Q8IU85 P29474
Q8TD86 Q14012
Q8TD86 Q15746
Q8TD86 Q32MK0
Q8TD86 Q86YV6
Q8TD86 Q8IU85
Q8TD86 Q96NX5
Q8TD86 Q96RR4
Q8TD86 Q9H1R3
Q96LZ3 O95644
Q96LZ3 Q12968
Q96LZ3 Q13469
Q96LZ3 Q14934
Q96NX5 P29474
Q96RR4 O43741
Q96RR4 P54619
Q96RR4 P54646
Q96RR4 Q13131
Q96RR4 Q9UGI9
Q96RR4 Q9UGJ0
Q96RR4 Q9Y478
Q9BZL4 P14649
Q9BZL4 P24844
Q9BZL4 P60660
Q9H1R3 P14649
Q9H1R3 P24844
Q9H1R3 P60660
Q9NQ66 P00533
Q9NZT1 P48454
Q9NZT1 P63098
Q9NZT1 Q08209
Q9NZT1 Q13554
Q9NZT1 Q13555
Q9NZT1 Q13557
Q9NZT1 Q14012
Q9NZT1 Q15746
Q9NZT1 Q16566
Q9NZT1 Q32MK0
Q9NZT1 Q86YV6
Q9NZT1 Q8IU85
Q9NZT1 Q96NX5
Q9NZT1 Q96RR4
Q9NZT1 Q9H1R3
Q9UQM7 P29474
