#id	mapped_name	kegg_name
9	Q9Y6A2	hsa:10858
14	O75881	hsa:9420
15	P22680	hsa:1581
16	O75881	hsa:9420
24	P51857	hsa:6718
26	P17516	hsa:1109
28	Q02318	hsa:1593
33	Q9UHK6	hsa:23600
35	Q99424	hsa:8309
40	P17516	hsa:1109
47	O95992	hsa:9023
49	P22680	hsa:1581
50	P51659	hsa:3295
52	P22307	hsa:6342
54	P22307	hsa:6342
60	Q9Y2P5	hsa:10998
61	Q14032	hsa:570
63	Q02318	hsa:1593
64	Q02318	hsa:1593
67	Q02318	hsa:1593
68	Q9H2F3	hsa:80270
69	Q9H2F3	hsa:80270
70	Q9H2F3	hsa:80270
71	Q9H2F3	hsa:80270
73	Q14032	hsa:570
81	Q9Y2P5	hsa:10998
82	Q14032	hsa:570
86	Q14032	hsa:570
90	Q9UNU6	hsa:1582
91	Q9NYL5	hsa:51302
92	Q9Y2P5	hsa:10998
93	Q02318	hsa:1593
94	Q02318	hsa:1593
95	Q02318	hsa:1593
96	Q9UHK6	hsa:23600
97	Q99424	hsa:8309
98	P51659	hsa:3295
99	Q9Y2P5	hsa:10998
106	P51857	hsa:6718
109	P51659	hsa:3295
110	P51659	hsa:3295
111	O75881	hsa:9420
112	Q9H2F3	hsa:80270
170	O14734	hsa:10005
172	O14734	hsa:10005
174	Q9UNU6	hsa:1582
