#id	mapped_name	kegg_name
2	P49327|Q8IVS2	hsa:2194|hsa:27349
6	P49327	hsa:2194
7	P49327|Q9NWU1	hsa:2194|hsa:54995
9	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
10	P49327|P86397	hsa:109703458|hsa:2194
17	P49327|Q9BV79	hsa:2194|hsa:51102
19	P49327|Q9NWU1	hsa:2194|hsa:54995
21	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
23	P49327|P86397	hsa:109703458|hsa:2194
25	P49327|Q9BV79	hsa:2194|hsa:51102
28	P49327|Q9NWU1	hsa:2194|hsa:54995
31	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
33	P49327|P86397	hsa:109703458|hsa:2194
35	P49327|Q9BV79	hsa:2194|hsa:51102
37	P49327|Q9NWU1	hsa:2194|hsa:54995
40	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
42	P49327|P86397	hsa:109703458|hsa:2194
44	P49327|Q9BV79	hsa:2194|hsa:51102
46	P49327|Q9NWU1	hsa:2194|hsa:54995
49	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
51	P49327|P86397	hsa:109703458|hsa:2194
53	P49327|Q9BV79	hsa:2194|hsa:51102
55	P49327|Q9NWU1	hsa:2194|hsa:54995
58	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
60	P49327|P86397	hsa:109703458|hsa:2194
62	P49327|Q9BV79	hsa:2194|hsa:51102
64	P49327|Q9NWU1	hsa:2194|hsa:54995
67	P49327|Q8N4T8|Q92506	hsa:2194|hsa:7923|hsa:84869
69	P49327|P86397	hsa:109703458|hsa:2194
71	P49327|Q9BV79	hsa:2194|hsa:51102
74	P49327	hsa:2194
75	Q9H5J4|Q9NWU1	hsa:54995|hsa:79071
78	Q53GQ0	hsa:51144
80	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
82	Q9NZ01	hsa:9524
84	A1L3X0|Q9HB03	hsa:79993|hsa:83401
87	Q53GQ0	hsa:51144
89	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
91	Q9NZ01	hsa:9524
93	A1L3X0|Q9BW60|Q9HB03	hsa:64834|hsa:79993|hsa:83401
96	Q53GQ0	hsa:51144
98	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
100	Q9NZ01	hsa:9524
102	A1L3X0|Q9BW60	hsa:64834|hsa:79993
105	Q53GQ0	hsa:51144
107	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
109	Q9NZ01	hsa:9524
112	P09110|P24752|P42765|P55084|Q9BWD1	hsa:10449|hsa:30|hsa:3032|hsa:38|hsa:39
114	P40939|Q08426|Q16836	hsa:1962|hsa:3030|hsa:3033
116	P30084|P40939|Q08426	hsa:1892|hsa:1962|hsa:3030
118	Q9BV79	hsa:51102
121	P09110|P42765|P55084	hsa:10449|hsa:30|hsa:3032
124	P40939|Q08426|Q16836	hsa:1962|hsa:3030|hsa:3033
