#id	component_ids	mapped_names	kegg_names
219	56|57	Q13485	hsa:4087 hsa:4088|hsa:4089
220	71|75	P24941	hsa:1017|hsa:898 hsa:9134
221	69|73	P50613|P51946	hsa:1022|hsa:902
222	70|74	P24941	hsa:1017|hsa:890 hsa:8900
223	66|68	P06493	hsa:890 hsa:8900|hsa:983
224	12|13|14|15|16|17	O43913|O43929|Q13415|Q13416|Q9UBD5|Q9Y5N6	hsa:23594|hsa:23595|hsa:4998|hsa:4999|hsa:5000|hsa:5001
225	18|19|20|21|22|23	P25205|P33991|P33992|P33993|P49736|Q14566	hsa:4171|hsa:4172|hsa:4173|hsa:4174|hsa:4175|hsa:4176
226	29|58	O00311|Q9UBU7	hsa:10926|hsa:8317
227	24|67	P06493	hsa:85417 hsa:891 hsa:9133|hsa:983
229	10|48	Q13309	hsa:6500 hsa:8454 hsa:9978|hsa:6502
230	11|41	Q13309	hsa:6500 hsa:8454 hsa:9978|hsa:6502
231	60|8	Q12834	hsa:10393 hsa:246184 hsa:25847 hsa:29882 hsa:29945 hsa:51433 hsa:51434 hsa:51529 hsa:64682 hsa:8697 hsa:8881 hsa:996|hsa:991
232	5|9	Q9UM11	hsa:10393 hsa:246184 hsa:25847 hsa:29882 hsa:29945 hsa:51433 hsa:51434 hsa:51529 hsa:64682 hsa:8697 hsa:8881 hsa:996|hsa:51343
233	25|30|32	O43684|O60566	hsa:10459 hsa:4085|hsa:701|hsa:9184
234	178|179|180|46	O60216|Q9UQE7	hsa:10274 hsa:10735|hsa:27127 hsa:8243|hsa:5885|hsa:9126
237	186|187|218	P28749	hsa:1874 hsa:1875|hsa:5933|hsa:7027 hsa:7029
