#id	mapped_name	kegg_name
10	Q07817	hsa:598
11	O00273	hsa:1676
12	Q13315	hsa:472
13	P04637	hsa:7157
14	Q14249	hsa:2021
15	O95831	hsa:9131
16	P10415	hsa:596
17	O15392|P98170|Q13489|Q13490	hsa:329|hsa:330|hsa:331|hsa:332
18	O76075	hsa:1677
19	P55211	hsa:842
20	P55210	hsa:840
21	P42574	hsa:836
22	Q92934	hsa:572
23	P19838|Q04206	hsa:4790|hsa:5970
24	O15392|P98170|Q13489|Q13490	hsa:329|hsa:330|hsa:331|hsa:332
25	P55212	hsa:839
26	P25963	hsa:4792
27	O14727	hsa:317
28	P99999	hsa:54205
29	P55957	hsa:637
30	Q14790	hsa:841
31	Q92851	hsa:843
32	P07384|P17655	hsa:823|hsa:824
33	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
34	Q99558	hsa:9020
35	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
36	O15519	hsa:8837
37	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
38	Q12933	hsa:7186
39	Q13546	hsa:8737
40	Q15628	hsa:8717
41	Q13158	hsa:8772
42	Q15628	hsa:8717
43	Q13158	hsa:8772
44	P26951|P32927	hsa:1439|hsa:3563
45	P04629	hsa:4914
46	P19438	hsa:7132
47	O00220|O14763	hsa:8795|hsa:8797
48	P25445	hsa:355
49	P08700	hsa:3562
50	P01138	hsa:4803
51	P01375	hsa:7124
53	P50591	hsa:8743
54	P48023	hsa:356
102	P02549|Q13813	hsa:6708|hsa:6709
103	P02545|P20700|Q03252	hsa:4000|hsa:4001|hsa:84823
104	P09874|Q9UGN5|Q9UKK3|Q9Y6F1	hsa:10038|hsa:10039|hsa:142|hsa:143
111	Q9NR28	hsa:56616
112	Q8NEP4	hsa:5414
113	O43464	hsa:27429
118	Q07812	hsa:581
119	Q16611	hsa:578
120	P55957	hsa:637
121	Q13794	hsa:5366
122	Q96PG8|Q9BXH1	hsa:27113
123	O14727	hsa:317
124	Q9HCN2	hsa:63970
125	P25445	hsa:355
126	O00220|O14763	hsa:8795|hsa:8797
130	Q12933	hsa:7186
131	O75460	hsa:2081
132	Q6UXS9	hsa:100506742
135	Q12923	hsa:5783
136	O15519	hsa:8837
137	O75293|O95257|P24522	hsa:10912|hsa:1647|hsa:4616
138	Q16548	hsa:597
139	Q12933|Q13077	hsa:7185|hsa:7186
141	Q07812	hsa:581
142	Q16611	hsa:578
146	Q07817	hsa:598
152	Q9UER7	hsa:1616
154	Q99683	hsa:4217
155	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
156	Q5VWQ8	hsa:153090
163	P05412	hsa:3725
164	P01100	hsa:2353
167	P04637	hsa:7157
168	P25445	hsa:355
169	P48023	hsa:356
170	O43521	hsa:10018
173	Q96PG8|Q9BXH1	hsa:27113
174	Q13794	hsa:5366
180	O60911|P07339|P07711|P07858|P09668|P25774|P43234|P43235|P53634|P56202|Q9UBR2|Q9UBX1	hsa:1075|hsa:1508|hsa:1509|hsa:1512|hsa:1513|hsa:1514|hsa:1515|hsa:1519|hsa:1520|hsa:1521|hsa:1522|hsa:8722
201	P35638	hsa:1649
202	Q9NZJ5	hsa:9451
203	P05198	hsa:1965
204	P18848	hsa:468
211	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
222	O15530	hsa:5170
226	P55957	hsa:637
229	P42575	hsa:835
230	Q9HB75	hsa:55367
232	Q9HB75	hsa:55367
234	P10144	hsa:3002
236	P14222	hsa:5551
245	P60709|P63261	hsa:60|hsa:71
246	A6NHL2|P0DPH7|P0DPH8|P68363|P68366|Q6PEY2|Q71U36|Q9BQE3|Q9NY65	hsa:10376|hsa:112714|hsa:113457|hsa:51807|hsa:7277|hsa:7278|hsa:7846|hsa:79861|hsa:84790
247	Q07820	hsa:4170
263	O43521	hsa:10018
264	Q07820	hsa:4170
275	O00198	hsa:8739
277	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
278	P04049	hsa:5894
279	P36507|Q02750	hsa:5604|hsa:5605
280	P27361|P28482	hsa:5594|hsa:5595
288	P10415	hsa:596
