#id	mapped_name	kegg_name
9	Q9BXN2	hsa:64581
10	Q6EIG7	hsa:93978
11	Q9ULY5	hsa:26253
12	Q8WXI8	hsa:338339
13	P30273	hsa:2207
14	Q9H2X3|Q9NNX6	hsa:10332|hsa:30835
16	P33241	hsa:4046
17	Q8IVT5	hsa:8844
18	Q9H4B4	hsa:1263
19	P12931	hsa:6714
20	P19838	hsa:4790
21	P04049	hsa:5894
22	Q13153	hsa:5058
23	O14807|P01111|P01112|P01116|P10301|P62070	hsa:22800|hsa:22808|hsa:3265|hsa:3845|hsa:4893|hsa:6237
28	Q04206	hsa:5970
29	P30273	hsa:2207
30	P30273	hsa:2207
40	P43405	hsa:6850
43	Q9NPF7	hsa:51561
44	Q06124	hsa:5781
46	Q9Y6K9	hsa:8517
49	O14920|O15111	hsa:1147|hsa:3551
50	P19838	hsa:4790
51	Q04206	hsa:5970
53	P29459|P29460	hsa:3592|hsa:3593
54	Q96P20	hsa:114548
56	P29466	hsa:834
58	P33241	hsa:4046
60	Q9ULZ3	hsa:29108
62	P01584	hsa:3553
63	P01584	hsa:3553
65	Q14790	hsa:841
66	Q9ULZ3	hsa:29108
68	P05231	hsa:3569
69	P29459|P29460	hsa:3592|hsa:3593
70	Q9NZN5	hsa:23365
72	P61586	hsa:387
74	Q9H2X3|Q9NNX6	hsa:10332|hsa:30835
76	P33241	hsa:4046
79	Q9NQC7	hsa:1540
81	Q14164	hsa:9641
83	P42224	hsa:6772
84	P52630	hsa:6773
85	P42224	hsa:6772
86	Q00978	hsa:10379
87	Q8TAD2	hsa:53342
89	P20749	hsa:602
90	P49137	hsa:9261
96	P20749	hsa:602
98	P19838	hsa:4790
99	P22301	hsa:3586
103	P05231	hsa:3569
104	P29459|P29460	hsa:3592|hsa:3593
105	P43405	hsa:6850
106	Q06124	hsa:5781
109	P19838	hsa:4790
110	Q04206	hsa:5970
111	Q9NPF7	hsa:51561
112	P05231	hsa:3569
113	P01584	hsa:3553
116	P25963	hsa:4792
119	P19838	hsa:4790
120	Q04206	hsa:5970
122	P43405	hsa:6850
124	Q9H257	hsa:64170
125	O95999	hsa:8915
126	Q9UDY8	hsa:10892
129	P19838	hsa:4790
130	Q04206	hsa:5970
131	P25963	hsa:4792
134	Q9NPF7	hsa:51561
135	P05231	hsa:3569
136	P29459|P29460	hsa:3592|hsa:3593
137	P01584	hsa:3553
139	P19838	hsa:4790
140	Q04206	hsa:5970
142	O14807|P01111|P01112|P01116|P10301|P62070	hsa:22800|hsa:22808|hsa:3265|hsa:3845|hsa:4893|hsa:6237
143	Q05655	hsa:5580
146	P25963	hsa:4792
150	P16885	hsa:5336
151	P27361|P28482	hsa:5594|hsa:5595
154	O95644|Q12968|Q13469|Q14934	hsa:4772|hsa:4773|hsa:4775|hsa:4776
155	Q9NPF7	hsa:51561
156	P60568	hsa:3558
160	P16298|P48454|P63098|Q08209|Q96LZ3	hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535
163	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
168	Q99558	hsa:9020
170	P19838	hsa:4790
171	Q04206	hsa:5970
174	O95644|Q12968|Q13469|Q14934	hsa:4772|hsa:4773|hsa:4775|hsa:4776
175	P19838	hsa:4790
176	Q04206	hsa:5970
179	P01375	hsa:7124
180	P22301	hsa:3586
184	P19838	hsa:4790
186	Q13191	hsa:868
191	Q9Y6K9	hsa:8517
193	O14920|O15111	hsa:1147|hsa:3551
195	Q9ULY5	hsa:26253
196	Q8WXI8	hsa:338339
197	P30273	hsa:2207
200	P43405	hsa:6850
201	Q9P126	hsa:51266
206	P16885	hsa:5336
208	O95644|Q12968|Q13469|Q14934	hsa:4772|hsa:4773|hsa:4775|hsa:4776
213	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
216	O95644|Q12968|Q13469|Q14934	hsa:4772|hsa:4773|hsa:4775|hsa:4776
217	Q8TAD2	hsa:53342
224	Q9H257	hsa:64170
225	O95999	hsa:8915
226	Q9UDY8	hsa:10892
227	Q9H257	hsa:64170
228	O95999	hsa:8915
229	Q9UDY8	hsa:10892
230	P04049	hsa:5894
234	P29459|P29460	hsa:3592|hsa:3593
236	P43405	hsa:6850
238	Q9H257	hsa:64170
239	O95999	hsa:8915
240	Q9UDY8	hsa:10892
242	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
243	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
246	Q00987	hsa:4193
247	Q00987	hsa:4193
248	P10914	hsa:3659
252	P29459|P29460	hsa:3592|hsa:3593
263	Q9Y6K9	hsa:8517
265	O14920|O15111	hsa:1147|hsa:3551
266	O15111	hsa:1147
267	Q00653	hsa:4791
268	Q01201	hsa:5971
273	Q04206	hsa:5970
274	Q01201	hsa:5971
275	Q04206	hsa:5970
276	P01584	hsa:3553
277	P05231	hsa:3569
278	Q00653	hsa:4791
279	Q01201	hsa:5971
282	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
284	P16298|P48454|P63098|Q08209|Q96LZ3	hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535
286	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
287	P22301	hsa:3586
288	P22301	hsa:3586
289	P01375	hsa:7124
290	P35354	hsa:5743
291	O00626	hsa:6367
292	Q92583	hsa:6361
295	P11161|Q06889	hsa:1959|hsa:1960
296	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
297	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
298	P27361|P28482	hsa:5594|hsa:5595
300	P29459|P29460	hsa:3592|hsa:3593
302	P05412	hsa:3725
305	P05412	hsa:3725
