#id	component_ids	mapped_names	kegg_names
344	54|60	Q96P20|Q9ULZ3	hsa:114548|hsa:29108
345	50|51	P19838|Q04206	hsa:4790|hsa:5970
346	109|110	P19838|Q04206	hsa:4790|hsa:5970
347	129|130	P19838|Q04206	hsa:4790|hsa:5970
348	238|239|240	O95999|Q9H257|Q9UDY8	hsa:10892|hsa:64170|hsa:8915
349	263|265	Q9Y6K9	hsa:1147 hsa:3551|hsa:8517
350	124|125|126	O95999|Q9H257|Q9UDY8	hsa:10892|hsa:64170|hsa:8915
351	224|225|226	O95999|Q9H257|Q9UDY8	hsa:10892|hsa:64170|hsa:8915
352	191|193	Q9Y6K9	hsa:1147 hsa:3551|hsa:8517
353	227|228|229	O95999|Q9H257|Q9UDY8	hsa:10892|hsa:64170|hsa:8915
354	46|49	Q9Y6K9	hsa:1147 hsa:3551|hsa:8517
355	273|274	Q01201|Q04206	hsa:5970|hsa:5971
356	170|171	P19838|Q04206	hsa:4790|hsa:5970
357	119|120	P19838|Q04206	hsa:4790|hsa:5970
358	20|28	P19838|Q04206	hsa:4790|hsa:5970
359	84|85|86	P42224|P52630|Q00978	hsa:10379|hsa:6772|hsa:6773
360	96|98	P19838|P20749	hsa:4790|hsa:602
361	247|248	P10914|Q00987	hsa:3659|hsa:4193
362	139|140	P19838|Q04206	hsa:4790|hsa:5970
