#id	mapped_name	kegg_name
10	P08648|P13612|P17301|P23229|P26006|P56199	hsa:3655|hsa:3672|hsa:3673|hsa:3675|hsa:3676|hsa:3678
11	P07359|P13224|P14770|P40197	hsa:2811|hsa:2812|hsa:2814|hsa:2815
12	P08514	hsa:3674
13	P08571	hsa:929
14	P21926	hsa:928
15	P05106	hsa:3690
16	Q14626	hsa:3590
17	P13987	hsa:966
18	P08174	hsa:1604
19	P17927|Q2VPA4	hsa:1378|hsa:1379
20	P16070	hsa:960
21	P02724	hsa:2993
22	P16671	hsa:948
23	P16671	hsa:948
24	P10721	hsa:3815
25	P19235	hsa:2057
26	Q01344	hsa:3568
27	Q99062	hsa:1441
28	P14778|P27930	hsa:3554|hsa:7850
29	Q01113	hsa:3581
30	P08571	hsa:929
31	P11215	hsa:3684
32	P11215	hsa:3684
33	P15144	hsa:290
34	P15144	hsa:290
35	P08887	hsa:3570
36	P07333	hsa:1436
37	P12314	hsa:2209
38	P08887	hsa:3570
39	P08887	hsa:3570
40	P24394	hsa:3566
41	P24394	hsa:3566
42	P20138	hsa:945
43	P15509	hsa:1438
44	P26951	hsa:3563
45	P26951	hsa:3563
46	P26951	hsa:3563
47	P15509	hsa:1438
48	P26951	hsa:3563
49	P15509	hsa:1438
51	P17927|Q2VPA4	hsa:1378|hsa:1379
52	P06734	hsa:2208
53	P11049	hsa:951
54	P20023	hsa:1380
55	P11836	hsa:931
56	P25063	hsa:100133941
57	P20273	hsa:933
58	P15391	hsa:930
59	P21926	hsa:928
60	P08473	hsa:4311
61	P04234|P07766|P09693	hsa:915|hsa:916|hsa:917
62	P01732|P10966	hsa:925|hsa:926|hsa:927
63	P01730	hsa:920
64	P06126|P15812|P15813|P29016|P29017	hsa:909|hsa:910|hsa:911|hsa:912|hsa:913
65	P06127	hsa:921
66	P06729	hsa:914
67	P09564	hsa:924
68	P20138	hsa:945
69	P20138	hsa:945
70	P20138	hsa:945
71	P28906	hsa:947
72	P28906	hsa:947
73	P28906	hsa:947
74	P28907	hsa:952
75	P28907	hsa:952
76	P02786	hsa:7037
77	P16871	hsa:3575
78	P16871	hsa:3575
79	P01589	hsa:3559
80	P01589	hsa:3559
81	P10721	hsa:3815
82	P10721	hsa:3815
83	P16070	hsa:960
84	P04053	hsa:1791
85	P04053	hsa:1791
86	P04053	hsa:1791
87	P36888	hsa:2322
88	P28906	hsa:947
89	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
90	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
91	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
92	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
93	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
94	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
95	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
96	P40225	hsa:7066
98	P40225	hsa:7066
99	P01588	hsa:2056
100	P01375	hsa:7124
101	P09603	hsa:1435
102	P09919	hsa:1440
103	P09919	hsa:1440
104	P49771	hsa:2323
105	P49771	hsa:2323
106	P49771	hsa:2323
107	P49771	hsa:2323
108	P49771	hsa:2323
109	P49771	hsa:2323
110	P20809	hsa:3589
111	P05231	hsa:3569
112	P04141	hsa:1437
113	P04141	hsa:1437
114	P04141	hsa:1437
115	P04141	hsa:1437
116	P04141	hsa:1437
117	P04141	hsa:1437
118	P04141	hsa:1437
119	P05112	hsa:3565
120	P01583|P01584	hsa:3552|hsa:3553
121	P20809	hsa:3589
122	P05231	hsa:3569
123	P05113	hsa:3567
124	P05112	hsa:3565
125	P05112	hsa:3565
126	P08700	hsa:3562
127	P08700	hsa:3562
128	P08700	hsa:3562
129	P08700	hsa:3562
130	P08700	hsa:3562
131	P08700	hsa:3562
132	P08700	hsa:3562
133	P08700	hsa:3562
134	P13232	hsa:3574
135	P13232	hsa:3574
136	P21583	hsa:4254
137	P21583	hsa:4254
138	P21583	hsa:4254
139	P21583	hsa:4254
140	P21583	hsa:4254
141	P21583	hsa:4254
142	P21583	hsa:4254
143	P21583	hsa:4254
144	P21583	hsa:4254
145	P21583	hsa:4254
146	P13232	hsa:3574
