#id1	id2	type	subtype
11	207	PPrel	activation
56	203	PPrel	binding/association
99	101	PPrel	activation|phosphorylation
87	89	PPrel	activation|indirect effect
12	50	PPrel	activation
102	95	PPrel	activation
108	110	PPrel	activation
129	139	PPrel	activation
160	162	PPrel	activation|indirect effect
219	36	PPrel	activation|indirect effect
34	219	PPrel	activation
165	86	PPrel	activation|indirect effect
96	86	PPrel	activation|indirect effect
86	87	PPrel	activation
43	12	PPrel	inhibition
162	165	PPrel	activation|phosphorylation
207	12	PPrel	activation
89	92	PPrel	activation|indirect effect
58	56	PPrel	activation|indirect effect
38	216	PPrel	activation
171	96	PPrel	activation
199	201	PPrel	activation
128	129	PPrel	activation
128	184	PPrel	activation
89	93	PPrel	activation|indirect effect
15	52	PPrel	inhibition|phosphorylation
129	148	PPrel	activation
139	143	PPrel	activation
190	60	PPrel	activation|indirect effect
58	68	PPrel	activation
110	102	PPrel	activation
148	162	PPrel	activation
62	190	PPrel	activation
68	60	PPrel	activation|indirect effect
50	15	PPrel	activation|indirect effect
132	133	PPrel	activation
148	132	PPrel	activation
158	132	PPrel	activation|indirect effect
195	197	PPrel	binding/association
101	108	PPrel	activation
132	137	PPrel	activation
154	158	PPrel	activation
156	158	PPrel	activation
