#id	mapped_name	kegg_name
23	Q92629	hsa:6444
26	O00305|O60359|O60840|P54284|P54289|P62955|Q01668|Q02641|Q06432|Q08289|Q13698|Q13936|Q7Z3S7|Q8IZS8|Q8WXS5|Q9BXT2|Q9NY47|Q9UBN1|Q9UF02|Q9Y698	hsa:10368|hsa:10369|hsa:27091|hsa:27092|hsa:55799|hsa:59283|hsa:59284|hsa:59285|hsa:775|hsa:776|hsa:778|hsa:779|hsa:781|hsa:782|hsa:783|hsa:784|hsa:785|hsa:786|hsa:9254|hsa:93589
27	Q92736	hsa:6262
28	O14983|P16615|Q93084	hsa:487|hsa:488|hsa:489
30	P32418|P57103|Q9UPR5	hsa:6543|hsa:6546|hsa:6547
33	Q13326	hsa:6445
34	Q16585	hsa:6443
35	Q16586	hsa:6442
36	Q14118	hsa:1605
37	Q14118	hsa:1605
39	P24043|P25391	hsa:284217|hsa:3908
43	P50402	hsa:2010
44	P02545	hsa:4000
45	P11532	hsa:1756
55	Q02487	hsa:1824
56	Q02487	hsa:1824
57	Q14126	hsa:1829
58	Q14126	hsa:1829
59	Q02487	hsa:1824
60	Q14126	hsa:1829
61	Q14126	hsa:1829
62	Q02487	hsa:1824
63	P14923	hsa:3728
64	Q99959	hsa:5318
65	P14923	hsa:3728
66	Q99959	hsa:5318
67	Q99959	hsa:5318
68	P14923	hsa:3728
69	Q99959	hsa:5318
70	P14923	hsa:3728
71	Q99959	hsa:5318
72	P14923	hsa:3728
73	P14923	hsa:3728
74	Q99959	hsa:5318
75	P15924	hsa:1832
76	P15924	hsa:1832
77	P15924	hsa:1832
78	P15924	hsa:1832
79	P15924	hsa:1832
80	P15924	hsa:1832
125	O75578|P06756|P08514|P08648|P13612|P17301|P23229|P26006|P53708|P56199|Q13683|Q13797|Q9UKX5	hsa:22801|hsa:3655|hsa:3672|hsa:3673|hsa:3674|hsa:3675|hsa:3676|hsa:3678|hsa:3679|hsa:3680|hsa:3685|hsa:8515|hsa:8516
126	P05106|P05556|P16144|P18084|P18564|P26010|P26012	hsa:3688|hsa:3690|hsa:3691|hsa:3693|hsa:3694|hsa:3695|hsa:3696
128	P60709|P63261	hsa:60|hsa:71
129	P17661	hsa:1674
131	P19022	hsa:1000
132	P19022	hsa:1000
133	P14923	hsa:3728
134	P26232|P35221|Q9UI47	hsa:1495|hsa:1496|hsa:29119
135	P35609|Q08043	hsa:88|hsa:89
136	P14923	hsa:3728
137	P26232|P35221|Q9UI47	hsa:1495|hsa:1496|hsa:29119
139	P17661	hsa:1674
140	P36402|Q9HCS4|Q9NQB0|Q9UJU2	hsa:51176|hsa:6932|hsa:6934|hsa:83439
141	P35222	hsa:1499
145	P60709|P63261	hsa:60|hsa:71
146	P17302	hsa:2697
147	P17302	hsa:2697
148	P17302	hsa:2697
149	P17302	hsa:2697
