O15350 P00519
P00533 P10275
P23229 P48509
P16144 A8K7I4
P16144 Q9UQC9
P15924 Q9UMD9
Q03001 Q9UMD9
P23229 Q9UMD9
P16144 Q9UMD9
Q15149 Q9UMD9
Q9UMD9 P15924
Q9UMD9 Q03001
Q96RT1 Q03001
P16144 Q03001
P10275 P00533
P23229 P00533
P16144 P00533
Q13541 P06730
P16144 P56537
P23229 P04626
P16144 P04626
Q03001 Q96RT1
P16144 Q96RT1
P16144 P06241
Q05397 P62993
P29353 P62993
P48509 P23229
Q9UMD9 P23229
P00533 P23229
P04626 P23229
P16144 P23229
P25391 P23229
P24043 P23229
Q16787 P23229
O15230 P23229
P07942 P23229
P55268 P23229
Q13751 P23229
P11047 P23229
Q13753 P23229
O95631 P23229
P08865 P23229
A8K7I4 P16144
Q9UQC9 P16144
Q9UMD9 P16144
Q03001 P16144
P00533 P16144
P56537 P16144
P04626 P16144
Q96RT1 P16144
P06241 P16144
P23229 P16144
P25391 P16144
P24043 P16144
Q16787 P16144
O15230 P16144
P07942 P16144
P55268 P16144
Q13751 P16144
P11047 P16144
Q13753 P16144
P08581 P16144
O95631 P16144
P42336 P16144
P42338 P16144
O00329 P16144
P48736 P16144
P27986 P16144
O00459 P16144
Q92569 P16144
Q15149 P16144
Q05397 P16144
Q06124 P16144
P29353 P16144
P08670 P16144
P07947 P16144
P31946 P16144
P27348 P16144
P23229 P25391
P07942 P25391
P11047 P25391
P23229 P24043
P07942 P24043
P55268 P24043
P11047 P24043
P23229 Q16787
Q13751 Q16787
Q13753 Q16787
P23229 O15230
P07942 O15230
P55268 O15230
P11047 O15230
P23229 P07942
P25391 P07942
P24043 P07942
O15230 P07942
P11047 P07942
P23229 P55268
P24043 P55268
O15230 P55268
P11047 P55268
P23229 Q13751
Q16787 Q13751
Q13753 Q13751
P23229 P11047
P25391 P11047
P24043 P11047
O15230 P11047
P07942 P11047
P55268 P11047
P23229 Q13753
Q16787 Q13753
Q13751 Q13753
P16144 P08581
P16144 P08581
P31947 Q04912
P31946 Q04912
P62258 Q04912
Q04917 Q04912
P27348 Q04912
P63104 Q04912
Q13541 P42345
Q15149 Q32MK0
P23229 O95631
P16144 O95631
P63000 Q13153
P16144 P42336
P42338 P42336
O00329 P42336
P48736 P42336
P27986 P42336
O00459 P42336
Q92569 P42336
P16144 P42338
P42336 P42338
O00329 P42338
P48736 P42338
P27986 P42338
O00459 P42338
Q92569 P42338
P16144 O00329
P42336 O00329
P42338 O00329
P48736 O00329
P27986 O00329
O00459 O00329
Q92569 O00329
P16144 P48736
P42336 P48736
P42338 P48736
O00329 P48736
P27986 P48736
O00459 P48736
Q92569 P48736
P04626 P27986
P35568 P27986
Q9Y4H2 P27986
P16144 P27986
P42336 P27986
P42338 P27986
O00329 P27986
P48736 P27986
O00459 P27986
Q92569 P27986
P16144 O00459
P42336 O00459
P42338 O00459
O00329 O00459
P48736 O00459
P27986 O00459
Q92569 O00459
P16144 Q92569
P42336 Q92569
P42338 Q92569
O00329 Q92569
P48736 Q92569
P27986 Q92569
O00459 Q92569
Q9UMD9 Q15149
P16144 Q15149
Q32MK0 Q15149
P16144 Q05397
P12931 Q05397
P16144 Q06124
Q9BST9 P61586
P23229 P08865
P61586 Q9BST9
Q04912 P31947
P62993 P29353
P16144 P29353
Q05397 P12931
Q05397 P12931
P00519 O15350
P16144 P08670
P16144 P07947
P16144 P31946
Q04912 P31946
Q04912 P62258
Q04912 Q04917
P16144 P27348
Q04912 P27348
Q04912 P63104
