Q9Y6W5 Q8IZP0
P43403 P00519
Q04759 P31749
P29353 P52566
P15498 P52566
Q13153 Q15052
Q14161 Q14155
Q13153 Q14155
Q9BXL7 O95999
O43353 O95999
P16298 Q9Y6J0
O95999 Q9BXL7
Q92918 Q9BXL7
P43403 Q9BXL7
P46108 P22681
P06241 P22681
P62993 P22681
Q9Y2R2 P22681
Q9H6Q3 P22681
P43405 P22681
P27348 P22681
P46109 Q13191
P62993 Q13191
P43405 Q13191
O43586 P06729
P16410 P20963
Q92608 P20963
P62993 P20963
P52333 P20963
P26045 P20963
P29353 P20963
Q13239 P20963
Q9H6Q3 P20963
P42229 P20963
P51692 P20963
Q6PIZ9 P20963
Q13432 P20963
P43403 P20963
P33681 P10747
O43586 Q9Y5K6
P07766 P04234
P04435 P04234
P04234 P07766
P09693 P07766
P16333 P07766
P19338 P07766
Q6PIZ9 P07766
P04435 P07766
Q13432 P07766
P43403 P07766
P07766 P09693
P04435 P09693
O43561 P01730
P06239 P01730
Q13432 P01730
P29350 P06127
P43403 P06127
P10747 P33681
O43561 P01732
P06239 P01732
P42768 P60953
Q9NSC5 P17676
P25963 O15111
Q04759 Q9NSE2
Q92793 P16220
P16220 Q92793
P22681 P46108
Q92918 P46108
Q14511 P46108
P43403 P46108
Q13191 P46109
Q92918 P46109
P42768 P46109
O43516 P46109
P43403 P46109
P20963 P16410
P33681 P16410
P42081 P16410
P27986 P16410
O00459 P16410
P15941 P35222
Q92918 Q9UJU6
P43403 Q9H4E7
P06239 Q12959
P15498 P50570
P20963 Q92608
P08575 Q99704
P62993 O60496
Q92835 O60496
O43561 O60496
P43403 P51452
O95644 P18146
Q13469 P18146
Q04206 P18146
O15117 Q8N8S7
O15117 Q9UI08
P43403 Q96P31
P05412 P01100
Q13469 P01100
Q8N8S7 O15117
Q9UI08 O15117
P06241 O15117
Q13094 O15117
P16333 O15117
O75563 O15117
P50552 O15117
P42768 O15117
P22681 P06241
O15117 P06241
O15117 P06241
Q13588 P06241
Q14643 P06241
Q14643 P06241
Q9NWQ8 P06241
Q14289 P06241
Q86WV1 P06241
Q86WV1 P06241
P43405 P06241
P42681 P06241
P42681 P06241
Q13432 P06241
P42768 P06241
P42768 P06241
P43403 P06241
O43561 Q9UQC2
Q06124 Q9UQC2
P43403 Q9UQC2
Q14155 Q14161
Q13153 Q14161
P06241 Q13588
Q07666 Q13588
O43561 Q13588
P06239 Q13588
P19174 Q13588
P29353 Q13588
Q07889 Q13588
O43561 O75791
Q8IWV1 O75791
Q13094 O75791
Q92918 O75791
Q15464 O75791
P22681 P62993
Q13191 P62993
P20963 P62993
O60496 P62993
Q92835 P62993
Q08881 P62993
O43561 P62993
Q8IWV1 P62993
Q92918 P62993
P27986 P62993
O00459 P62993
P19174 P62993
Q14289 P62993
P29353 P62993
Q86WV1 P62993
Q07889 P62993
Q07890 P62993
P43403 P62993
P17676 Q9NSC5
O75144 Q9Y6W8
Q92918 O14920
P25963 O14920
O60496 Q92835
P62993 Q92835
O43561 Q92835
Q13233 Q96J02
P62993 Q08881
Q13094 Q08881
P06241 Q14643
P20963 P52333
P01100 P05412
Q13469 P05412
Q13588 Q07666
P01730 O43561
P01732 O43561
O60496 O43561
Q9UQC2 O43561
Q13588 O43561
O75791 O43561
P62993 O43561
Q92835 O43561
Q92918 O43561
P27986 O43561
O00459 O43561
P19174 O43561
Q15464 O43561
Q13239 O43561
P15498 O43561
O75791 Q8IWV1
P62993 Q8IWV1
P27986 Q8IWV1
O00459 Q8IWV1
P20963 P06239
P01730 P06239
P01732 P06239
Q12959 P06239
Q13588 P06239
Q9H400 P06239
Q9H400 P06239
P15941 P06239
P15941 P06239
Q05397 P06239
Q14289 P06239
Q9HD43 P06239
Q9NP31 P06239
P78314 P06239
Q86WV1 P06239
Q13432 P06239
O15117 Q13094
O75791 Q13094
Q08881 Q13094
O43561 Q13094
P16333 Q13094
P19174 Q13094
Q15464 Q13094
P15498 Q13094
Q9UKW4 Q13094
P42768 Q13094
P63104 Q13094
P06239 Q9H400
Q86WV1 P07948
Q9Y4K3 Q9UDY8
P28482 Q02750
P28482 Q02750
Q96J02 Q13233
P41279 Q99558
Q9BXL7 Q92918
Q9BXL7 Q92918
P46108 Q92918
P46109 Q92918
Q9UJU6 Q92918
O75791 Q92918
P62993 Q92918
O14920 Q92918
O43561 Q92918
P16333 Q92918
Q02750 P28482
P15336 Q16539
P35222 P15941
P06239 P15941
P43403 P15941
P07766 P16333
O15117 P16333
Q13094 P16333
Q92918 P16333
P15498 P16333
P07766 P19338
P46108 Q14511
Q13905 Q14511
P43405 Q8NET5
P43403 Q8NET5
P18146 O95644
Q13469 O95644
Q04206 O95644
P18146 Q13469
P01100 Q13469
P05412 Q13469
O95644 Q13469
P16298 Q13469
Q04206 Q13469
P06241 Q9NWQ8
Q14155 Q13153
Q14161 Q13153
P16333 Q13153
P10747 P27986
P46108 P27986
P16410 P27986
P62993 P27986
Q9Y6W8 P27986
O43561 P27986
Q8IWV1 P27986
O00459 P27986
Q6PIZ9 P27986
P10747 O00459
P46108 O00459
P16410 O00459
P62993 O00459
Q9Y6W8 O00459
O43561 O00459
Q8IWV1 O00459
P27986 O00459
Q6PIZ9 O00459
Q13588 P19174
P62993 P19174
O43561 P19174
Q13094 P19174
Q07889 P19174
Q07890 P19174
P43403 P19174
Q9Y6J0 P16298
P31749 Q04759
Q9NSE2 Q04759
Q9UEW8 Q04759
Q9UEW8 Q04759
P06729 O43586
Q9Y5K6 O43586
Q05209 O43586
P42768 O43586
P06239 Q05397
P06241 Q14289
P62993 Q14289
P06239 Q14289
P49023 Q14289
Q8N5H7 Q14289
P15498 Q14289
P43403 Q14289
Q9UQC2 Q06124
Q9Y3P8 Q06124
O43586 Q05209
P42768 Q05209
P42768 Q05209
P22681 Q9Y2R2
P20963 P26045
P20963 P26045
P06127 P29350
Q99704 P08575
Q86WV1 P08575
P06239 Q9HD43
P06239 Q9HD43
O43561 Q12913
Q14289 P49023
Q7LDG7 P62834
Q14511 Q13905
P43403 P20936
Q86WV1 O95267
O95644 Q04206
Q13469 Q04206
O95999 O43353
P06239 Q9NP31
Q14289 Q8N5H7
P06239 P78314
P15498 P78314
Q9UKW4 P78314
O75791 Q15464
O43561 Q15464
Q13094 Q15464
P15498 Q15464
P43403 Q15464
P52566 P29353
P20963 P29353
Q13588 P29353
