#tail	head	KSP index	path cost
P21854	P62993	1	5.62500e-01
P62993	P06400	1	5.62500e-01
P21854	P06127	2	4.21875e-01
P06127	P11912	2	4.21875e-01
P11912	P14317	2	4.21875e-01
P06127	P27986	3	4.21875e-01
P27986	P25963	3	4.21875e-01
P06127	P43403	4	4.21875e-01
P43403	Q9H6Q3	4	4.21875e-01
P62993	O14974	5	4.21875e-01
O14974	P01100	5	4.21875e-01
P62993	P04792	6	4.21875e-01
P04792	O14920	6	4.21875e-01
P04792	P15336	7	4.21875e-01
P04792	P25963	8	4.21875e-01
P62993	P05067	9	4.21875e-01
P05067	P01100	9	4.21875e-01
P05067	P05412	10	4.21875e-01
P05067	P15336	11	4.21875e-01
P05067	P19419	12	4.21875e-01
P62993	P05549	13	4.21875e-01
P05549	P05412	13	4.21875e-01
P62993	P02545	14	4.21875e-01
P02545	P06400	14	4.21875e-01
P05549	P06400	15	4.21875e-01
P62993	P06748	16	4.21875e-01
P06748	P06400	16	4.21875e-01
P62993	P07437	17	4.21875e-01
P07437	O14920	17	4.21875e-01
P07437	P05412	18	4.21875e-01
P07437	P15336	19	4.21875e-01
P07437	P25963	20	4.21875e-01
P07437	Q9Y6K9	21	4.21875e-01
P62993	P08238	22	4.21875e-01
P08238	O14920	22	4.21875e-01
P08238	Q9Y6K9	23	4.21875e-01
P62993	P0CG48	24	4.21875e-01
P0CG48	P05412	24	4.21875e-01
P0CG48	P25963	25	4.21875e-01
P0CG48	Q9Y6K9	26	4.21875e-01
P62993	P10275	27	4.21875e-01
P10275	P05412	27	4.21875e-01
P10275	P06400	28	4.21875e-01
P10275	P15336	29	4.21875e-01
P10275	P16220	30	4.21875e-01
P10275	Q12778	31	4.21875e-01
P62993	P10909	32	4.21875e-01
P10909	P01100	32	4.21875e-01
P62993	P11021	33	4.21875e-01
P11021	O14920	33	4.21875e-01
P11021	P25963	34	4.21875e-01
P11021	Q9Y6K9	35	4.21875e-01
P62993	P11142	36	4.21875e-01
P11142	O14920	36	4.21875e-01
P11142	P05412	37	4.21875e-01
P11142	P25963	38	4.21875e-01
P11142	Q9Y6K9	39	4.21875e-01
P62993	P14373	40	4.21875e-01
P14373	P06400	40	4.21875e-01
P62993	P14868	41	4.21875e-01
P14868	P05412	41	4.21875e-01
P62993	P02765	42	4.21875e-01
P02765	P15336	42	4.21875e-01
P62993	P05783	43	4.21875e-01
P05783	P15336	43	4.21875e-01
P05783	Q9Y6K9	44	4.21875e-01
P62993	P05787	45	4.21875e-01
P05787	P15336	45	4.21875e-01
P05787	Q9Y6K9	46	4.21875e-01
P62993	P06733	47	4.21875e-01
P06733	P15336	47	4.21875e-01
P62993	P08670	48	4.21875e-01
P08670	P15336	48	4.21875e-01
P08670	P16220	49	4.21875e-01
P08670	Q13469	50	4.21875e-01
P08670	Q9Y6K9	51	4.21875e-01
P62993	P08729	52	4.21875e-01
P08729	P15336	52	4.21875e-01
P62993	P09211	53	4.21875e-01
P09211	P15336	53	4.21875e-01
P62993	P09493	54	4.21875e-01
P09493	P15336	54	4.21875e-01
P62993	P09622	55	4.21875e-01
P09622	P15336	55	4.21875e-01
P62993	P10809	56	4.21875e-01
P10809	P15336	56	4.21875e-01
P10809	Q9Y6K9	57	4.21875e-01
P62993	P12814	58	4.21875e-01
P12814	P15336	58	4.21875e-01
P62993	P13639	59	4.21875e-01
P13639	P15336	59	4.21875e-01
P62993	P14618	60	4.21875e-01
P14618	P15336	60	4.21875e-01
P62993	P15941	61	4.21875e-01
P15941	O14920	61	4.21875e-01
P15941	Q9Y6K9	62	4.21875e-01
P62993	P16298	63	4.21875e-01
P16298	P05412	63	4.21875e-01
P62993	O14776	64	4.21875e-01
O14776	P17275	64	4.21875e-01
P62993	P11137	65	4.21875e-01
P11137	P17275	65	4.21875e-01
P16298	Q12968	66	4.21875e-01
P16298	Q13469	67	4.21875e-01
P62993	P18031	68	4.21875e-01
P18031	P15336	68	4.21875e-01
P62993	P16885	69	4.21875e-01
P16885	P19419	69	4.21875e-01
P18031	P25963	70	4.21875e-01
P62993	P21333	71	4.21875e-01
P21333	O14920	71	4.21875e-01
P21333	Q9Y6K9	72	4.21875e-01
P62993	P23528	73	4.21875e-01
P23528	P15336	73	4.21875e-01
P62993	P24928	74	4.21875e-01
P24928	P16220	74	4.21875e-01
P62993	P05141	75	4.21875e-01
P05141	P25963	75	4.21875e-01
P05141	Q9Y6K9	76	4.21875e-01
P62993	P09651	77	4.21875e-01
P09651	P25963	77	4.21875e-01
P62993	P0CG47	78	4.21875e-01
P0CG47	P25963	78	4.21875e-01
P0CG47	Q9Y6K9	79	4.21875e-01
P62993	P12235	80	4.21875e-01
