#tail	head	KSP index	path cost
Q16288	P35222	1	7.50000e-01
P04629	P35222	2	7.50000e-01
P10586	P35222	3	7.50000e-01
Q99523	P67809	4	7.50000e-01
P04629	P00519	5	5.62500e-01
P00519	P35222	5	5.62500e-01
P04629	P08238	6	5.62500e-01
P08238	P35222	6	5.62500e-01
P04629	P08575	7	5.62500e-01
P08575	P35222	7	5.62500e-01
P04629	P18031	8	5.62500e-01
P18031	P35222	8	5.62500e-01
P04629	P22681	9	5.62500e-01
P22681	P35222	9	5.62500e-01
P04629	P23467	10	5.62500e-01
P23467	P35222	10	5.62500e-01
P04629	P23470	11	5.62500e-01
P23470	P35222	11	5.62500e-01
P04629	P27986	12	5.62500e-01
P27986	P35222	12	5.62500e-01
P04629	P42336	13	5.62500e-01
P42336	P35222	13	5.62500e-01
P08138	P27986	14	5.62500e-01
P08138	P42336	15	5.62500e-01
P10586	P00533	16	5.62500e-01
P00533	P35222	16	5.62500e-01
P10586	P14923	17	5.62500e-01
P14923	P35222	17	5.62500e-01
P10586	Q16620	18	5.62500e-01
Q16620	P35222	18	5.62500e-01
Q16288	P18031	19	5.62500e-01
Q99523	P06493	20	5.62500e-01
P06493	P16220	20	5.62500e-01
Q99523	P24941	21	5.62500e-01
P24941	P35222	21	5.62500e-01
Q16288	P08238	22	4.38306e-01
P08138	Q9Y4K3	23	4.35040e-01
Q9Y4K3	P67809	23	4.35040e-01
P00519	P04637	24	4.21875e-01
P04637	P16220	24	4.21875e-01
P04637	P67809	25	4.21875e-01
P00519	P05412	26	4.21875e-01
P05412	P16220	26	4.21875e-01
P05412	P35222	27	4.21875e-01
P00519	P10275	28	4.21875e-01
P10275	P16220	28	4.21875e-01
P10275	P35222	29	4.21875e-01
P00519	P17676	30	4.21875e-01
P17676	P16220	30	4.21875e-01
P00519	O14746	31	4.21875e-01
O14746	P35222	31	4.21875e-01
P00519	O60260	32	4.21875e-01
O60260	P35222	32	4.21875e-01
P00519	P00533	33	4.21875e-01
P00519	P04626	34	4.21875e-01
P04626	P35222	34	4.21875e-01
P00519	P08581	35	4.21875e-01
P08581	P35222	35	4.21875e-01
P00519	P0CG48	36	4.21875e-01
P0CG48	P35222	36	4.21875e-01
P0CG48	P67809	37	4.21875e-01
P00519	P11142	38	4.21875e-01
P11142	P35222	38	4.21875e-01
P00519	P15941	39	4.21875e-01
P15941	P35222	39	4.21875e-01
P00519	P17844	40	4.21875e-01
P17844	P35222	40	4.21875e-01
P00519	P18031	41	4.21875e-01
P00519	P22681	42	4.21875e-01
P00519	P27986	43	4.21875e-01
P00519	P35637	44	4.21875e-01
P35637	P35222	44	4.21875e-01
P35637	P67809	45	4.21875e-01
P00519	P38398	46	4.21875e-01
P38398	P16220	46	4.21875e-01
P38398	P35222	47	4.21875e-01
P00519	P46937	48	4.21875e-01
P46937	P35222	48	4.21875e-01
P00519	P49023	49	4.21875e-01
P49023	P35222	49	4.21875e-01
P00519	P50402	50	4.21875e-01
P50402	P35222	50	4.21875e-01
P00519	P52272	51	4.21875e-01
P52272	P35222	51	4.21875e-01
P00519	P63104	52	4.21875e-01
P63104	P35222	52	4.21875e-01
P00519	O43390	53	4.21875e-01
O43390	P67809	53	4.21875e-01
P00519	P01106	54	4.21875e-01
P01106	P67809	54	4.21875e-01
P63104	P67809	55	4.21875e-01
P00519	P98161	56	4.21875e-01
P98161	P35222	56	4.21875e-01
P00519	Q05655	57	4.21875e-01
Q05655	P16220	57	4.21875e-01
Q05655	P35222	58	4.21875e-01
P00519	Q09472	59	4.21875e-01
Q09472	P16220	59	4.21875e-01
Q09472	P35222	60	4.21875e-01
P00519	Q13315	61	4.21875e-01
Q13315	P16220	61	4.21875e-01
P00519	Q13535	62	4.21875e-01
Q13535	P16220	62	4.21875e-01
P00519	Q15139	63	4.21875e-01
Q15139	P16220	63	4.21875e-01
Q15139	P35222	64	4.21875e-01
P00519	Q6P1J9	65	4.21875e-01
Q6P1J9	P35222	65	4.21875e-01
P00519	Q9H2X6	66	4.21875e-01
Q9H2X6	P16220	66	4.21875e-01
P00519	Q9NRM7	67	4.21875e-01
Q9NRM7	P35222	67	4.21875e-01
P08238	P10275	68	4.21875e-01
P08238	P17612	70	4.21875e-01
P17612	P16220	70	4.21875e-01
P17612	P35222	71	4.21875e-01
P08238	P22694	72	4.21875e-01
P22694	P16220	72	4.21875e-01
P08238	P31749	73	4.21875e-01
P31749	P16220	73	4.21875e-01
P31749	P35222	74	4.21875e-01
P31749	P67809	75	4.21875e-01
P08238	P31751	76	4.21875e-01
