#tail	head	KSP index	path cost
P34998	P62158	1	5.62500e-01
P62158	P19838	1	5.62500e-01
P62158	P15884	2	5.62500e-01
P62158	Q04206	3	5.62500e-01
P34998	P04899	4	4.21875e-01
P04899	O15264	4	4.21875e-01
O15264	P19838	4	4.21875e-01
O15264	Q04206	5	4.21875e-01
P04899	P08238	6	4.21875e-01
P08238	P19838	6	4.21875e-01
P04899	P27361	7	4.21875e-01
P27361	P19838	7	4.21875e-01
P27361	Q04206	8	4.21875e-01
P04899	P28482	9	4.21875e-01
P28482	P19838	9	4.21875e-01
P28482	P22736	10	4.21875e-01
P28482	Q04206	11	4.21875e-01
P04899	P35579	12	4.21875e-01
P35579	P19838	12	4.21875e-01
P04899	P45983	13	4.21875e-01
P45983	P19838	13	4.21875e-01
P45983	P22736	14	4.21875e-01
P45983	Q04206	15	4.21875e-01
P04899	P45984	16	4.21875e-01
P45984	P19838	16	4.21875e-01
P45984	Q04206	17	4.21875e-01
P04899	P53778	18	4.21875e-01
P53778	P19838	18	4.21875e-01
P53778	Q04206	19	4.21875e-01
P04899	P53779	20	4.21875e-01
P53779	P19838	20	4.21875e-01
P53779	Q04206	21	4.21875e-01
P04899	Q15759	22	4.21875e-01
Q15759	P19838	22	4.21875e-01
Q15759	Q04206	23	4.21875e-01
P04899	Q16539	24	4.21875e-01
Q16539	P19838	24	4.21875e-01
Q16539	P22736	25	4.21875e-01
Q16539	Q04206	26	4.21875e-01
P04899	Q99496	27	4.21875e-01
Q99496	Q04206	27	4.21875e-01
P04899	Q99759	28	4.21875e-01
Q99759	Q04206	28	4.21875e-01
P34998	P09471	29	4.21875e-01
P09471	P27361	29	4.21875e-01
P09471	P28482	31	4.21875e-01
P34998	P32121	34	4.21875e-01
P32121	O15160	34	4.21875e-01
O15160	P15884	34	4.21875e-01
P32121	O95602	35	4.21875e-01
O95602	P15884	35	4.21875e-01
P32121	O00505	36	4.21875e-01
O00505	P19838	36	4.21875e-01
P32121	O00629	37	4.21875e-01
O00629	P19838	37	4.21875e-01
P32121	O15111	38	4.21875e-01
O15111	P19838	38	4.21875e-01
O15111	Q04206	39	4.21875e-01
P32121	O43318	40	4.21875e-01
O43318	P19838	40	4.21875e-01
O43318	Q04206	41	4.21875e-01
P32121	P04049	42	4.21875e-01
P04049	P19838	42	4.21875e-01
P04049	Q04206	43	4.21875e-01
P32121	P04350	44	4.21875e-01
P04350	P19838	44	4.21875e-01
P04350	P22736	45	4.21875e-01
P32121	P08238	46	4.21875e-01
P32121	P08670	47	4.21875e-01
P08670	P19838	47	4.21875e-01
P32121	P11021	48	4.21875e-01
P11021	P19838	48	4.21875e-01
P11021	Q04206	49	4.21875e-01
P32121	P11142	50	4.21875e-01
P11142	P19838	50	4.21875e-01
P11142	Q04206	51	4.21875e-01
P32121	P17066	52	4.21875e-01
P17066	P19838	52	4.21875e-01
P32121	P23246	53	4.21875e-01
P23246	P19838	53	4.21875e-01
P32121	P23396	54	4.21875e-01
P23396	P19838	54	4.21875e-01
P23396	Q04206	55	4.21875e-01
P32121	P25963	56	4.21875e-01
P25963	P19838	56	4.21875e-01
P25963	Q04206	57	4.21875e-01
P32121	P31749	58	4.21875e-01
P31749	P19838	58	4.21875e-01
P31749	P22736	59	4.21875e-01
P31749	Q04206	60	4.21875e-01
P32121	P34931	61	4.21875e-01
P34931	P19838	61	4.21875e-01
P34931	Q04206	62	4.21875e-01
P32121	P35579	63	4.21875e-01
P32121	P35580	64	4.21875e-01
P35580	P19838	64	4.21875e-01
P32121	P45984	65	4.21875e-01
P32121	P52272	67	4.21875e-01
P52272	P19838	67	4.21875e-01
P32121	P52597	68	4.21875e-01
P52597	P19838	68	4.21875e-01
P32121	P53779	69	4.21875e-01
P32121	P60660	71	4.21875e-01
P60660	P19838	71	4.21875e-01
P32121	P62158	72	4.21875e-01
P32121	P62241	75	4.21875e-01
P62241	P19838	75	4.21875e-01
P32121	P06748	76	4.21875e-01
P06748	Q04206	76	4.21875e-01
P32121	P0CG48	77	4.21875e-01
P0CG48	Q04206	77	4.21875e-01
P32121	P27348	78	4.21875e-01
P27348	Q04206	78	4.21875e-01
P32121	P42224	79	4.21875e-01
P42224	Q04206	79	4.21875e-01
P32121	Q00987	80	4.21875e-01
Q00987	Q04206	80	4.21875e-01
P32121	Q04917	81	4.21875e-01
Q04917	Q04206	81	4.21875e-01
P32121	Q05639	82	4.21875e-01
Q05639	P19838	82	4.21875e-01
P32121	Q07021	83	4.21875e-01
Q07021	P19838	83	4.21875e-01
P32121	Q13233	84	4.21875e-01
Q13233	P19838	84	4.21875e-01
Q13233	Q04206	85	4.21875e-01
P32121	Q13263	86	4.21875e-01
Q13263	P22736	86	4.21875e-01
Q13263	Q04206	87	4.21875e-01
P32121	Q13748	88	4.21875e-01
Q13748	P19838	88	4.21875e-01
P32121	Q15233	89	4.21875e-01
Q15233	P19838	89	4.21875e-01
P32121	Q8TAQ2	90	4.21875e-01
Q8TAQ2	P15884	90	4.21875e-01
P32121	Q92769	91	4.21875e-01
Q92769	Q04206	91	4.21875e-01
P32121	Q99558	92	4.21875e-01
Q99558	Q04206	92	4.21875e-01
P32121	Q99873	93	4.21875e-01
Q99873	Q04206	93	4.21875e-01
P32121	Q9UN86	94	4.21875e-01
Q9UN86	Q04206	94	4.21875e-01
P32121	Q9Y4K3	95	4.21875e-01
Q9Y4K3	P19838	95	4.21875e-01
Q9Y4K3	Q04206	96	4.21875e-01
P34998	P35626	97	4.21875e-01
P35626	P04792	97	4.21875e-01
P04792	P19838	97	4.21875e-01
P04792	Q04206	98	4.21875e-01
P34998	P43250	99	4.21875e-01
P43250	P08238	99	4.21875e-01
P62158	P10275	100	4.21875e-01
P10275	P15884	100	4.21875e-01
P62158	O14920	101	4.21875e-01
O14920	P19838	101	4.21875e-01
O14920	Q04206	102	4.21875e-01
P62158	O15111	103	4.21875e-01
P62158	O43353	105	4.21875e-01
O43353	P19838	105	4.21875e-01
O43353	Q04206	106	4.21875e-01
P62158	P07900	107	4.21875e-01
P07900	P19838	107	4.21875e-01
P62158	P19438	108	4.21875e-01
P19438	P19838	108	4.21875e-01
P19438	Q04206	109	4.21875e-01
P19838	Q04206	110	4.21875e-01
P62158	P31749	111	4.21875e-01
P62158	P35579	114	4.21875e-01
P62158	P40337	115	4.21875e-01
P40337	P22736	115	4.21875e-01
P62158	Q00653	116	4.21875e-01
Q00653	P19838	116	4.21875e-01
Q00653	Q04206	117	4.21875e-01
P62158	Q01201	118	4.21875e-01
Q01201	P19838	118	4.21875e-01
P62158	P27348	119	4.21875e-01
Q01201	Q04206	120	4.21875e-01
Q04206	P19838	121	4.21875e-01
Q04206	P22736	122	4.21875e-01
P62158	Q04864	123	4.21875e-01
Q04864	P19838	123	4.21875e-01
Q04864	Q04206	124	4.21875e-01
P62158	Q12933	125	4.21875e-01
Q12933	P19838	125	4.21875e-01
P62158	Q13233	126	4.21875e-01
P62158	Q14164	128	4.21875e-01
Q14164	Q04206	128	4.21875e-01
P62158	Q16566	129	4.21875e-01
Q16566	Q04206	129	4.21875e-01
P62158	Q99558	130	4.21875e-01
P62158	Q99759	131	4.21875e-01
P62158	Q9NYJ8	132	4.21875e-01
Q9NYJ8	P19838	132	4.21875e-01
P62158	Q9UHD2	133	4.21875e-01
Q9UHD2	Q04206	133	4.21875e-01
P62158	Q9Y4K3	134	4.21875e-01
