#tail	head	KSP index	path cost
P00533	P68104	1	7.50000e-01
P00533	P01100	2	7.50000e-01
P00533	P40763	3	7.50000e-01
P00533	P42224	4	7.50000e-01
P00533	P42229	5	7.50000e-01
P00533	P51692	6	7.50000e-01
P00533	Q92625	7	7.50000e-01
P04626	P40763	8	7.50000e-01
P04626	P42224	9	7.50000e-01
P04626	Q92625	10	7.50000e-01
P00533	A1L0T0	11	5.62500e-01
A1L0T0	P01106	11	5.62500e-01
P00533	O14654	12	5.62500e-01
O14654	P01106	12	5.62500e-01
P00533	O14818	13	5.62500e-01
O14818	P01106	13	5.62500e-01
P00533	O43592	14	5.62500e-01
O43592	P01106	14	5.62500e-01
P00533	O60716	15	5.62500e-01
O60716	P01106	15	5.62500e-01
P00533	O60884	16	5.62500e-01
O60884	P01106	16	5.62500e-01
O60884	P84022	17	5.62500e-01
O60884	Q15796	18	5.62500e-01
P00533	P02751	19	5.62500e-01
P02751	P01106	19	5.62500e-01
P00533	P03372	20	5.62500e-01
P03372	O94776	20	5.62500e-01
P03372	P01100	21	5.62500e-01
P03372	P01106	22	5.62500e-01
P03372	P05412	23	5.62500e-01
P03372	P08047	24	5.62500e-01
P03372	P17676	25	5.62500e-01
P03372	P19838	26	5.62500e-01
P03372	P40763	27	5.62500e-01
P03372	P42229	28	5.62500e-01
P03372	P84022	29	5.62500e-01
P03372	P98177	30	5.62500e-01
P03372	Q04206	31	5.62500e-01
P03372	Q07666	32	5.62500e-01
P03372	Q12778	33	5.62500e-01
P03372	Q13547	34	5.62500e-01
P03372	Q15796	35	5.62500e-01
P03372	Q16576	36	5.62500e-01
P03372	Q9Y6Q9	37	5.62500e-01
P00533	P04049	38	5.62500e-01
P04049	O14593	38	5.62500e-01
P04049	P01106	39	5.62500e-01
P04049	P19838	40	5.62500e-01
P04049	P68104	41	5.62500e-01
P04049	Q04206	42	5.62500e-01
P00533	P04792	43	5.62500e-01
P04792	P01106	43	5.62500e-01
P00533	P05067	44	5.62500e-01
P05067	P01100	44	5.62500e-01
P00533	P04150	45	5.62500e-01
P04150	P05412	45	5.62500e-01
P04150	P16220	46	5.62500e-01
P04150	P17676	47	5.62500e-01
P04150	P19838	48	5.62500e-01
P04150	P40763	49	5.62500e-01
P04150	P51692	50	5.62500e-01
P04150	P84022	51	5.62500e-01
P04150	Q04206	52	5.62500e-01
P04150	Q13547	53	5.62500e-01
P04150	Q9Y6Q9	54	5.62500e-01
P05067	P05412	55	5.62500e-01
P05067	P19419	56	5.62500e-01
P05067	P84022	57	5.62500e-01
P00533	P07437	58	5.62500e-01
P07437	P05412	58	5.62500e-01
P07437	P19838	59	5.62500e-01
P00533	P07900	60	5.62500e-01
P07900	P05412	60	5.62500e-01
P07900	P08047	61	5.62500e-01
P07900	P40763	62	5.62500e-01
P00533	P0CG48	63	5.62500e-01
P0CG48	P01106	63	5.62500e-01
P0CG48	P05412	64	5.62500e-01
P0CG48	Q04206	65	5.62500e-01
P00533	P0DMV8	66	5.62500e-01
P0DMV8	P01100	66	5.62500e-01
P0DMV8	P01106	67	5.62500e-01
P0DMV8	P19838	68	5.62500e-01
P0DMV8	Q04206	69	5.62500e-01
P00533	P10275	70	5.62500e-01
P10275	P05412	70	5.62500e-01
P10275	P08047	71	5.62500e-01
P10275	P16220	72	5.62500e-01
P10275	P17535	73	5.62500e-01
P10275	P40763	74	5.62500e-01
P10275	P49715	75	5.62500e-01
P10275	P84022	76	5.62500e-01
P10275	Q12778	77	5.62500e-01
P10275	Q9Y6Q9	78	5.62500e-01
