#tail	head	KSP index	path cost
P16871	P42229	1	7.50000e-01
P16871	P40763	2	7.50000e-01
P16871	P51692	3	7.50000e-01
P16871	O60674	4	5.62500e-01
O60674	P40763	4	5.62500e-01
O60674	P42229	5	5.62500e-01
O60674	P51692	6	5.62500e-01
P16871	P06241	7	5.62500e-01
P06241	P40763	7	5.62500e-01
P16871	P23458	8	5.62500e-01
P23458	P40763	8	5.62500e-01
P23458	P42229	9	5.62500e-01
P23458	P51692	10	5.62500e-01
P16871	P27986	11	5.62500e-01
P27986	P40763	11	5.62500e-01
P27986	P42229	12	5.62500e-01
P16871	P29597	13	5.62500e-01
P29597	P40763	13	5.62500e-01
P16871	P10721	14	5.62500e-01
P10721	P42229	14	5.62500e-01
P10721	P51692	15	5.62500e-01
P29597	P42229	16	5.62500e-01
P29597	P51692	17	5.62500e-01
P40763	P42229	18	5.62500e-01
P40763	P51692	19	5.62500e-01
P42229	P40763	20	5.62500e-01
P42229	P51692	21	5.62500e-01
P51692	P40763	22	5.62500e-01
P51692	P42229	23	5.62500e-01
P16871	P52333	24	5.62500e-01
P52333	P40763	24	5.62500e-01
P52333	P42229	25	5.62500e-01
P52333	P51692	26	5.62500e-01
P16871	Q14289	27	5.62500e-01
Q14289	P40763	27	5.62500e-01
P31785	O60674	28	5.62500e-01
P31785	P14784	31	5.62500e-01
P14784	P40763	31	5.62500e-01
P14784	P42229	32	5.62500e-01
P14784	P51692	33	5.62500e-01
P31785	P16871	34	5.62500e-01
P31785	P23458	37	5.62500e-01
P31785	P27986	40	5.62500e-01
P31785	P29597	42	5.62500e-01
P31785	P10721	43	5.62500e-01
P31785	P29353	45	5.62500e-01
P29353	P42229	45	5.62500e-01
P31785	P42229	48	5.42732e-01
P10721	P40763	49	4.75289e-01
O60674	O00459	51	4.21875e-01
O00459	P40763	51	4.21875e-01
O00459	P42229	52	4.21875e-01
O60674	O14543	53	4.21875e-01
O14543	P40763	53	4.21875e-01
O14543	P42229	54	4.21875e-01
O14543	P51692	55	4.21875e-01
O60674	P03372	56	4.21875e-01
P03372	P40763	56	4.21875e-01
P03372	P42229	57	4.21875e-01
O60674	P04626	58	4.21875e-01
P04626	P40763	58	4.21875e-01
O60674	P06241	59	4.21875e-01
O60674	P11362	60	4.21875e-01
P11362	P40763	60	4.21875e-01
O60674	P12931	61	4.21875e-01
P12931	P40763	61	4.21875e-01
P12931	P42229	62	4.21875e-01
P12931	P51692	63	4.21875e-01
O60674	P16473	64	4.21875e-01
P16473	P40763	64	4.21875e-01
O60674	P18031	65	4.21875e-01
P18031	P40763	65	4.21875e-01
P18031	P42229	66	4.21875e-01
P18031	P51692	67	4.21875e-01
O60674	P23458	68	4.21875e-01
O60674	P27986	71	4.21875e-01
O60674	P40189	73	4.21875e-01
P40189	P40763	73	4.21875e-01
O60674	P42224	76	4.21875e-01
P42224	P40763	76	4.21875e-01
O60674	P10721	77	4.21875e-01
O60674	P16471	79	4.21875e-01
P16471	P42229	79	4.21875e-01
O60674	P19235	80	4.21875e-01
P19235	P42229	80	4.21875e-01
O60674	P29353	81	4.21875e-01
O60674	P38398	82	4.21875e-01
P38398	P42229	82	4.21875e-01
P42224	P42229	83	4.21875e-01
P42224	P51692	84	4.21875e-01
O60674	P42336	87	4.21875e-01
P42336	P40763	87	4.21875e-01
O60674	P48357	88	4.21875e-01
P48357	P40763	88	4.21875e-01
O60674	P52333	91	4.21875e-01
O60674	P67775	94	4.21875e-01
P67775	P42229	94	4.21875e-01
P67775	P51692	95	4.21875e-01
O60674	Q06124	96	4.21875e-01
