#tail	head	KSP index	path cost
P24394	P42226	1	7.50000e-01
P31785	P42226	2	6.33718e-01
P24394	O60674	3	5.62500e-01
O60674	P42226	3	5.62500e-01
P24394	P29597	4	5.62500e-01
P29597	P42226	4	5.62500e-01
P24394	P52333	5	5.62500e-01
P52333	P42226	5	5.62500e-01
P24394	Q05513	6	5.62500e-01
Q05513	Q04206	6	5.62500e-01
Q05513	Q9Y6Q9	7	5.62500e-01
P25942	O95551	8	5.62500e-01
O95551	P14921	8	5.62500e-01
P25942	P10599	9	5.62500e-01
P10599	P19838	9	5.62500e-01
P25942	P27797	10	5.62500e-01
P27797	P15336	10	5.62500e-01
P25942	P34932	11	5.62500e-01
P34932	P19838	11	5.62500e-01
P25942	P12956	12	5.62500e-01
P12956	P49715	12	5.62500e-01
P12956	Q09472	13	5.62500e-01
P12956	Q92793	14	5.62500e-01
P34932	Q04206	15	5.62500e-01
P25942	P52333	16	5.62500e-01
P25942	O15294	17	5.62500e-01
O15294	Q04206	17	5.62500e-01
P25942	Q12933	18	5.62500e-01
Q12933	P19838	18	5.62500e-01
P25942	Q9NYJ8	19	5.62500e-01
Q9NYJ8	P19838	19	5.62500e-01
P25942	Q9UNN5	20	5.62500e-01
Q9UNN5	Q04206	20	5.62500e-01
P31785	O60674	21	5.62500e-01
P31785	P23458	22	5.62500e-01
P23458	P42226	22	5.62500e-01
P31785	P29597	23	5.62500e-01
P61073	O60674	24	5.62500e-01
P61073	P52333	25	5.62500e-01
P61073	Q05397	26	5.62500e-01
Q05397	Q9Y6Q9	26	5.62500e-01
P78552	O60674	27	5.62500e-01
P78552	P23458	28	5.62500e-01
P78552	P29597	29	5.62500e-01
P78552	P52333	30	5.62500e-01
P61073	P25490	31	4.96191e-01
P25490	P15336	31	4.96191e-01
P25490	Q09472	32	4.96191e-01
P31785	P62993	33	4.49874e-01
P62993	Q09472	33	4.49874e-01
P61073	P10244	34	4.35040e-01
P10244	Q09472	34	4.35040e-01
O60674	P11166	35	4.21875e-01
P11166	P15336	35	4.21875e-01
O60674	P03372	36	4.21875e-01
P03372	P17676	36	4.21875e-01
P03372	P19838	37	4.21875e-01
P03372	Q04206	38	4.21875e-01
P03372	Q09472	39	4.21875e-01
P03372	Q92793	40	4.21875e-01
P03372	Q9Y6Q9	41	4.21875e-01
O60674	P18031	42	4.21875e-01
P18031	P15336	42	4.21875e-01
O60674	P19438	43	4.21875e-01
P19438	P19838	43	4.21875e-01
P19438	Q04206	44	4.21875e-01
O60674	P40763	45	4.21875e-01
P40763	P17676	45	4.21875e-01
O60674	P12931	46	4.21875e-01
P12931	P42226	46	4.21875e-01
P12931	Q92793	47	4.21875e-01
O60674	P23458	48	4.21875e-01
P40763	P19838	49	4.21875e-01
P40763	Q04206	50	4.21875e-01
O60674	P51692	51	4.21875e-01
P51692	P14921	51	4.21875e-01
P51692	Q92793	52	4.21875e-01
O60674	P52333	53	4.21875e-01
O60674	P52630	54	4.21875e-01
P52630	P42226	54	4.21875e-01
O60674	P38398	55	4.21875e-01
P38398	Q04206	55	4.21875e-01
P38398	Q09472	56	4.21875e-01
P38398	Q92793	57	4.21875e-01
P38398	Q9Y6Q9	58	4.21875e-01
O60674	P42224	59	4.21875e-01
P42224	Q04206	59	4.21875e-01
O60674	P67775	60	4.21875e-01
P67775	Q04206	60	4.21875e-01
O60674	P55209	61	4.21875e-01
P55209	Q09472	61	4.21875e-01
P55209	Q92793	62	4.21875e-01
O60674	P62993	63	4.21875e-01
O60674	Q13309	64	4.21875e-01
Q13309	Q09472	64	4.21875e-01
O60674	Q15910	65	4.21875e-01
Q15910	Q04206	65	4.21875e-01
O60674	Q13283	66	4.21875e-01
Q13283	Q7KZF4	66	4.21875e-01
O60674	P11362	67	4.21875e-01
P11362	Q92793	67	4.21875e-01
O60674	P42229	68	4.21875e-01
P42229	Q92793	68	4.21875e-01
O60674	Q96EY1	69	4.21875e-01
Q96EY1	Q04206	69	4.21875e-01
O60674	Q99683	70	4.21875e-01
Q99683	Q09472	70	4.21875e-01
Q99683	Q92793	71	4.21875e-01
O60674	Q9Y6K9	72	4.21875e-01
Q9Y6K9	P19838	72	4.21875e-01
O60674	Q13153	73	4.21875e-01
Q13153	Q9Y6Q9	73	4.21875e-01
Q9Y6K9	Q04206	74	4.21875e-01
Q9Y6K9	Q92793	75	4.21875e-01
Q9Y6K9	Q9Y6Q9	76	4.21875e-01
P24394	O95376	77	4.21875e-01
O95376	P04637	77	4.21875e-01
P04637	P14921	77	4.21875e-01
P04637	P17676	78	4.21875e-01
P04637	Q04206	79	4.21875e-01
P04637	Q09472	80	4.21875e-01
P04637	Q92793	81	4.21875e-01
O95376	P61077	82	4.21875e-01
P61077	P19838	82	4.21875e-01
O95376	Q00987	83	4.21875e-01
Q00987	Q04206	83	4.21875e-01
