#tail	head	KSP index	path cost
P10721	P42229	1	7.50000e-01
P10721	P00519	2	7.50000e-01
P10721	P42224	3	7.50000e-01
P10721	P51692	4	7.50000e-01
P16871	P42229	5	7.50000e-01
P16871	P51692	6	7.50000e-01
P19235	P42229	7	7.50000e-01
P32927	P42229	8	7.50000e-01
O00220	Q06187	9	5.62500e-01
Q06187	P00519	9	5.62500e-01
Q06187	P42229	10	5.62500e-01
O00220	Q13158	11	5.62500e-01
Q13158	P42224	11	5.62500e-01
O00220	Q15628	12	5.62500e-01
Q15628	P42224	12	5.62500e-01
P00519	P42229	13	5.62500e-01
P00519	P51692	14	5.62500e-01
P00519	Q09472	15	5.62500e-01
P10721	P07948	16	5.62500e-01
P07948	P00519	16	5.62500e-01
P10721	P08631	17	5.62500e-01
P08631	P00519	17	5.62500e-01
P08631	P42229	18	5.62500e-01
P08631	P51692	19	5.62500e-01
P10721	P16885	20	5.62500e-01
P16885	P19419	20	5.62500e-01
P10721	P27986	21	5.62500e-01
P27986	P00519	21	5.62500e-01
P27986	P42229	22	5.62500e-01
P10721	P29353	23	5.62500e-01
P29353	O43524	23	5.62500e-01
P10721	O14508	24	5.62500e-01
O14508	P42224	24	5.62500e-01
O14508	P42229	25	5.62500e-01
O14508	P51692	26	5.62500e-01
P10721	O14543	27	5.62500e-01
O14543	P42224	27	5.62500e-01
O14543	P42229	28	5.62500e-01
O14543	P51692	29	5.62500e-01
P10721	O14544	30	5.62500e-01
O14544	P42224	30	5.62500e-01
O14544	P42229	31	5.62500e-01
O14544	P51692	32	5.62500e-01
P10721	O15524	33	5.62500e-01
O15524	P42224	33	5.62500e-01
O15524	P42229	34	5.62500e-01
O15524	P51692	35	5.62500e-01
P10721	O60674	36	5.62500e-01
O60674	P42224	36	5.62500e-01
O60674	P42229	37	5.62500e-01
O60674	P51692	38	5.62500e-01
P10721	O75159	39	5.62500e-01
O75159	P42224	39	5.62500e-01
P10721	O00459	40	5.62500e-01
O00459	P42229	40	5.62500e-01
O75159	P42229	41	5.62500e-01
O75159	P51692	42	5.62500e-01
P10721	P06239	43	5.62500e-01
P06239	P42229	43	5.62500e-01
P10721	P16871	44	5.62500e-01
P10721	P19235	46	5.62500e-01
P10721	P22681	47	5.62500e-01
P22681	P42229	47	5.62500e-01
P29353	P42229	48	5.62500e-01
P10721	P32927	49	5.62500e-01
P42224	P42229	50	5.62500e-01
P42224	P51692	51	5.62500e-01
P42229	P42224	52	5.62500e-01
P42229	P51692	53	5.62500e-01
P10721	P43405	54	5.62500e-01
P43405	P42229	54	5.62500e-01
P10721	P46108	55	5.62500e-01
P46108	P19419	55	5.62500e-01
P46108	P42229	56	5.62500e-01
P46108	P51692	57	5.62500e-01
P10721	P46109	58	5.62500e-01
P46109	P42229	58	5.62500e-01
P46109	P51692	59	5.62500e-01
P51692	P42224	60	5.62500e-01
P51692	P42229	61	5.62500e-01
P10721	P52333	62	5.62500e-01
P52333	P42224	62	5.62500e-01
P52333	P42229	63	5.62500e-01
P52333	P51692	64	5.62500e-01
P10721	Q06124	65	5.62500e-01
Q06124	P42229	65	5.62500e-01
Q06124	P51692	66	5.62500e-01
P10721	Q06187	67	5.62500e-01
P10721	P62993	68	5.62500e-01
P62993	Q09472	68	5.62500e-01
P10721	Q00610	69	5.62500e-01
Q00610	Q09472	69	5.62500e-01
P10721	Q13882	71	5.62500e-01
Q13882	P51692	71	5.62500e-01
P10721	Q14653	72	5.62500e-01
Q14653	Q09472	72	5.62500e-01
P10721	Q15464	73	5.62500e-01
Q15464	P00519	73	5.62500e-01
P10721	Q8WXH5	74	5.62500e-01
Q8WXH5	P42224	74	5.62500e-01
Q8WXH5	P42229	75	5.62500e-01
Q8WXH5	P51692	76	5.62500e-01
P10721	Q99704	77	5.62500e-01
Q99704	P00519	77	5.62500e-01
P16871	P06241	78	5.62500e-01
P06241	P00519	78	5.62500e-01
P16871	P10721	79	5.62500e-01
P16871	P27986	83	5.62500e-01
P16871	O60674	84	5.62500e-01
P16871	P23458	87	5.62500e-01
P23458	P42224	87	5.62500e-01
P23458	P42229	88	5.62500e-01
P23458	P51692	89	5.62500e-01
P16871	P29597	91	5.62500e-01
P29597	P42224	91	5.62500e-01
P29597	P42229	92	5.62500e-01
P29597	P51692	93	5.62500e-01
P16871	P40763	94	5.62500e-01
P40763	P42224	94	5.62500e-01
P40763	P42229	95	5.62500e-01
P40763	P51692	96	5.62500e-01
P16871	P52333	101	5.62500e-01
P19235	P07948	104	5.62500e-01
P19235	P10721	105	5.62500e-01
P19235	P16885	109	5.62500e-01
P19235	P27986	110	5.62500e-01
P19235	P29353	112	5.62500e-01
P19235	O60674	113	5.62500e-01
P19235	P23458	116	5.62500e-01
P19235	P29597	120	5.62500e-01
P19235	P46109	125	5.62500e-01
P19235	P52333	127	5.62500e-01
P19235	Q06124	130	5.62500e-01
P19235	P62993	131	5.62500e-01
P19235	Q9NSE2	133	5.62500e-01
Q9NSE2	P42224	133	5.62500e-01
Q9NSE2	P42229	134	5.62500e-01
Q9NSE2	P51692	135	5.62500e-01
P32927	P06241	136	5.62500e-01
P32927	P08631	137	5.62500e-01
P32927	P10721	140	5.62500e-01
P32927	P27986	144	5.62500e-01
P32927	P29353	146	5.62500e-01
P32927	O60674	147	5.62500e-01
P32927	P23458	150	5.62500e-01
P32927	P43405	156	5.62500e-01
P32927	P50570	157	5.62500e-01
P50570	P00519	157	5.62500e-01
P32927	P63104	158	5.62500e-01
P63104	O43524	158	5.62500e-01
P63104	P00519	159	5.62500e-01
P32927	P63244	160	5.62500e-01
P63244	P42224	160	5.62500e-01
P32927	Q9NSE2	161	5.62500e-01
Q92729	P10721	164	5.62500e-01
Q92729	P35222	168	5.62500e-01
P35222	O43524	168	5.62500e-01
P35222	Q09472	169	5.62500e-01
P32927	P51692	170	5.42732e-01
P10721	P42336	171	4.80133e-01
P42336	P42224	171	4.80133e-01
P32927	P05771	172	4.80133e-01
P05771	Q09472	172	4.80133e-01
P63104	Q09472	173	4.80133e-01
Q92729	P00533	174	4.80133e-01
P00533	P42224	174	4.80133e-01
P00533	P42229	175	4.80133e-01
P00533	P51692	176	4.80133e-01
P10721	P40763	177	4.75289e-01
P10721	P11274	178	4.75289e-01
P11274	P42229	178	4.75289e-01
P11274	P51692	179	4.75289e-01
P40763	O43524	182	4.75289e-01
P32927	P29597	183	4.67070e-01
P32927	P52333	186	4.67070e-01
O00220	P51398	189	4.21875e-01
P51398	P10275	189	4.21875e-01
P10275	P00519	189	4.21875e-01
O00220	O15519	190	4.21875e-01
O15519	Q07817	190	4.21875e-01
Q07817	P00519	190	4.21875e-01
O00220	O14763	191	4.21875e-01
O14763	Q12905	191	4.21875e-01
Q12905	Q09472	191	4.21875e-01
O14763	Q12906	192	4.21875e-01
Q12906	P00519	192	4.21875e-01
Q12906	Q09472	193	4.21875e-01
O14763	Q13158	194	4.21875e-01
O14763	Q15628	195	4.21875e-01
O15519	P19838	196	4.21875e-01
P19838	Q09472	196	4.21875e-01
O15519	Q13158	197	4.21875e-01
O15519	Q15628	198	4.21875e-01
P51398	P04150	199	4.21875e-01
P04150	P51692	199	4.21875e-01
P51398	Q13158	200	4.21875e-01
P51398	Q92731	201	4.21875e-01
Q92731	P42229	201	4.21875e-01
Q92731	Q09472	202	4.21875e-01
Q06187	P02549	206	4.21875e-01
P02549	P00519	206	4.21875e-01
