#tail	head	KSP index	path cost
P08069	P03372	1	7.50000e-01
P04626	P40763	2	7.50000e-01
P04626	P42224	3	7.50000e-01
P08069	P40763	4	7.50000e-01
P48357	P40763	5	7.50000e-01
P04626	O60674	6	5.62500e-01
O60674	P03372	6	5.62500e-01
O60674	P40763	7	5.62500e-01
O60674	P42224	8	5.62500e-01
O60674	P42229	9	5.62500e-01
O60674	P51692	10	5.62500e-01
P04626	P00519	11	5.62500e-01
P00519	P03372	11	5.62500e-01
P00519	P08047	12	5.62500e-01
P00519	P42229	13	5.62500e-01
P00519	P51692	14	5.62500e-01
P04626	P00533	15	5.62500e-01
P00533	P03372	15	5.62500e-01
P00533	P40763	16	5.62500e-01
P00533	P42224	17	5.62500e-01
P00533	P42229	18	5.62500e-01
P00533	P51692	19	5.62500e-01
P04626	P02786	20	5.62500e-01
P02786	P03372	20	5.62500e-01
P04626	P07900	21	5.62500e-01
P07900	P03372	21	5.62500e-01
P04626	P01106	22	5.62500e-01
P01106	P08047	22	5.62500e-01
P01106	P40763	23	5.62500e-01
P01106	Q04206	24	5.62500e-01
P04626	P06241	25	5.62500e-01
P06241	P08047	25	5.62500e-01
P06241	P40763	26	5.62500e-01
P04626	P06493	27	5.62500e-01
P06493	P08047	27	5.62500e-01
P06493	Q12778	28	5.62500e-01
P07900	P08047	29	5.62500e-01
P07900	P40763	30	5.62500e-01
P04626	P14923	31	5.62500e-01
P14923	P03372	31	5.62500e-01
P04626	P15941	32	5.62500e-01
P15941	P03372	32	5.62500e-01
P15941	Q04206	33	5.62500e-01
P04626	P27986	34	5.62500e-01
P27986	P03372	34	5.62500e-01
P27986	P40763	35	5.62500e-01
P27986	P42229	36	5.62500e-01
P04626	P29353	37	5.62500e-01
P29353	P03372	37	5.62500e-01
P04626	O00329	38	5.62500e-01
O00329	P40763	38	5.62500e-01
P04626	O00459	39	5.62500e-01
O00459	P40763	39	5.62500e-01
O00459	P42229	40	5.62500e-01
P04626	O15524	41	5.62500e-01
O15524	P40763	41	5.62500e-01
O15524	P42224	42	5.62500e-01
O15524	P42229	43	5.62500e-01
O15524	P51692	44	5.62500e-01
O15524	Q04206	45	5.62500e-01
P04626	P09769	46	5.62500e-01
