#tail	head	KSP index	path cost
Q99466	Q06330	1	7.50000e-01
P46531	P19838	2	7.50000e-01
P46531	P25490	3	7.50000e-01
P46531	P84022	4	7.50000e-01
P46531	Q06330	5	7.50000e-01
P46531	Q06413	6	7.50000e-01
P46531	Q14469	7	7.50000e-01
P46531	Q15797	8	7.50000e-01
P46531	Q9UJU2	9	7.50000e-01
Q04721	Q06330	10	7.50000e-01
Q04721	Q15797	11	7.50000e-01
Q99466	P84022	12	7.50000e-01
Q9UM47	Q06330	13	7.50000e-01
P46531	O15111	14	5.62500e-01
O15111	P19838	14	5.62500e-01
O15111	P84022	15	5.62500e-01
P46531	P03372	16	5.62500e-01
P03372	P19838	16	5.62500e-01
P03372	P40763	17	5.62500e-01
P03372	P84022	18	5.62500e-01
P03372	Q06330	19	5.62500e-01
P46531	P05067	20	5.62500e-01
P05067	P25490	20	5.62500e-01
P05067	P84022	21	5.62500e-01
P05067	Q15797	22	5.62500e-01
P46531	P06733	23	5.62500e-01
P06733	P25490	23	5.62500e-01
P19838	P40763	24	5.62500e-01
P25490	P84022	25	5.62500e-01
P46531	P35222	26	5.62500e-01
P35222	P15923	26	5.62500e-01
P46531	O00459	27	5.62500e-01
O00459	P40763	27	5.62500e-01
P46531	P06239	28	5.62500e-01
P06239	P40763	28	5.62500e-01
P46531	P12931	29	5.62500e-01
P12931	P40763	29	5.62500e-01
P46531	P27986	30	5.62500e-01
P27986	P40763	30	5.62500e-01
P35222	P19838	31	5.62500e-01
P35222	P84022	32	5.62500e-01
P35222	Q9UJU2	33	5.62500e-01
P46531	P49841	34	5.62500e-01
P49841	P19838	34	5.62500e-01
P46531	P12956	35	5.62500e-01
P12956	P84022	35	5.62500e-01
P49841	P84022	36	5.62500e-01
P49841	Q15797	37	5.62500e-01
P84022	P25490	38	5.62500e-01
P84022	Q15797	39	5.62500e-01
P84022	Q9UJU2	40	5.62500e-01
P46531	Q00987	41	5.62500e-01
Q00987	P25490	41	5.62500e-01
P46531	Q04206	42	5.62500e-01
Q04206	P19838	42	5.62500e-01
Q04206	P40763	43	5.62500e-01
P46531	Q04864	44	5.62500e-01
Q04864	P19838	44	5.62500e-01
P46531	Q05655	45	5.62500e-01
Q05655	P40763	45	5.62500e-01
P46531	Q09472	46	5.62500e-01
Q09472	P15923	46	5.62500e-01
Q09472	P19838	47	5.62500e-01
Q09472	P25490	48	5.62500e-01
Q09472	P40763	49	5.62500e-01
Q09472	P50553	50	5.62500e-01
Q09472	P84022	51	5.62500e-01
Q09472	Q15797	52	5.62500e-01
Q09472	Q9UJU2	53	5.62500e-01
P46531	Q13526	54	5.62500e-01
Q13526	P84022	54	5.62500e-01
P46531	Q13573	55	5.62500e-01
Q13573	P84022	55	5.62500e-01
Q13573	Q06330	56	5.62500e-01
P46531	Q13761	57	5.62500e-01
Q13761	P84022	57	5.62500e-01
Q14469	P40763	58	5.62500e-01
Q14469	Q96HZ4	59	5.62500e-01
Q14469	Q9UBP5	60	5.62500e-01
P46531	Q8IZL2	61	5.62500e-01
Q8IZL2	Q06330	61	5.62500e-01
P46531	Q92585	62	5.62500e-01
Q92585	Q06330	62	5.62500e-01
P46531	Q92830	63	5.62500e-01
Q92830	Q06330	63	5.62500e-01
P46531	Q92831	64	5.62500e-01
Q92831	P15923	64	5.62500e-01
Q92831	P84022	65	5.62500e-01
Q92831	Q06330	66	5.62500e-01
Q92831	Q15797	67	5.62500e-01
P46531	Q96JK9	68	5.62500e-01
Q96JK9	Q06330	68	5.62500e-01
P46531	Q9H0M0	69	5.62500e-01
Q9H0M0	P84022	69	5.62500e-01
P46531	Q9NWT6	70	5.62500e-01
Q9NWT6	P19838	70	5.62500e-01
Q9UJU2	P84022	71	5.62500e-01
P46531	Q9ULJ6	72	5.62500e-01
Q9ULJ6	P84022	72	5.62500e-01
Q04721	P49841	73	5.62500e-01
Q04721	Q8IZL2	76	5.62500e-01
Q04721	Q92585	77	5.62500e-01
Q04721	Q96JK9	78	5.62500e-01
Q99466	Q13485	82	5.62500e-01
Q13485	P19838	82	5.62500e-01
Q13485	P25490	83	5.62500e-01
Q13485	P84022	84	5.62500e-01
Q13485	Q15797	85	5.62500e-01
Q13485	Q9UJU2	86	5.62500e-01
Q99466	Q15796	87	5.62500e-01
Q15796	P25490	87	5.62500e-01
Q15796	P84022	88	5.62500e-01
Q15796	Q06413	89	5.62500e-01
Q15796	Q15797	90	5.62500e-01
Q15796	Q9UJU2	91	5.62500e-01
Q99466	Q8IZL2	92	5.62500e-01
Q99466	Q92585	93	5.62500e-01
Q99466	Q96JK9	94	5.62500e-01
Q9UM47	O00308	95	5.62500e-01
O00308	P84022	95	5.62500e-01
Q9UM47	Q13573	96	5.62500e-01
Q9UM47	Q8IZL2	98	5.62500e-01
Q9UM47	Q92585	99	5.62500e-01
Q9UM47	Q92831	100	5.62500e-01
Q9UM47	Q96JK9	104	5.62500e-01
P46531	Q5TA89	105	5.42732e-01
Q04721	Q06413	106	5.42732e-01
P46531	P62979	107	4.93812e-01
P62979	Q15797	107	4.93812e-01
P46531	P62987	108	4.93812e-01
P62987	Q15797	108	4.93812e-01
P46531	Q13315	109	4.80844e-01
Q13315	Q15797	109	4.80844e-01
P46531	P31749	110	4.80133e-01
P31749	P19838	110	4.80133e-01
P31749	P84022	111	4.80133e-01
Q92831	P25490	112	4.80133e-01
Q09472	Q06330	114	4.75289e-01
Q04206	P84022	115	4.35040e-01
O00459	P14778	116	4.21875e-01
P14778	P19838	116	4.21875e-01
O00459	P19438	117	4.21875e-01
P19438	P19838	117	4.21875e-01
