#tail	head	KSP index	path cost
P21860	P18146	1	7.50000e-01
P04626	P40763	2	7.50000e-01
P04626	P42224	3	7.50000e-01
P40189	P40763	4	7.50000e-01
P40189	P42224	5	7.50000e-01
P40189	P01100	6	6.61588e-01
P04626	P00533	7	5.62500e-01
P00533	P01100	7	5.62500e-01
P04626	P00519	8	5.62500e-01
P00519	P17275	8	5.62500e-01
P00519	P17676	9	5.62500e-01
P00519	P51692	10	5.62500e-01
P00519	Q09472	11	5.62500e-01
P00533	P40763	12	5.62500e-01
P00533	P42224	13	5.62500e-01
P00533	P51692	14	5.62500e-01
P04626	P21860	15	5.62500e-01
P04626	P35222	16	5.62500e-01
P35222	P01100	16	5.62500e-01
P04626	O00459	17	5.62500e-01
O00459	P40763	17	5.62500e-01
P04626	O15524	18	5.62500e-01
O15524	P40763	18	5.62500e-01
O15524	P42224	19	5.62500e-01
O15524	P51692	20	5.62500e-01
O15524	Q04206	21	5.62500e-01
P04626	O60674	22	5.62500e-01
O60674	P40763	22	5.62500e-01
O60674	P42224	23	5.62500e-01
O60674	P51692	24	5.62500e-01
P04626	P06241	25	5.62500e-01
P06241	P40763	25	5.62500e-01
P04626	P07900	26	5.62500e-01
P07900	P40763	26	5.62500e-01
P04626	P09769	27	5.62500e-01
P09769	P40763	27	5.62500e-01
P04626	P16591	28	5.62500e-01
P16591	P40763	28	5.62500e-01
P04626	P22681	29	5.62500e-01
P22681	P40763	29	5.62500e-01
P04626	P23458	30	5.62500e-01
P23458	P40763	30	5.62500e-01
P23458	P42224	31	5.62500e-01
P23458	P51692	32	5.62500e-01
P04626	P27986	33	5.62500e-01
P27986	P40763	33	5.62500e-01
P35222	Q04206	34	5.62500e-01
P35222	Q09472	35	5.62500e-01
P04626	P40189	36	5.62500e-01
P04626	P08238	37	5.62500e-01
P08238	P42224	37	5.62500e-01
P40763	P01100	39	5.62500e-01
P40763	P17676	40	5.62500e-01
P40763	P42224	41	5.62500e-01
P40763	P51692	42	5.62500e-01
P40763	Q04206	43	5.62500e-01
P42224	P01100	44	5.62500e-01
P42224	P40763	45	5.62500e-01
P42224	P51692	46	5.62500e-01
P42224	Q04206	47	5.62500e-01
P42224	Q06413	48	5.62500e-01
P04626	P42684	49	5.62500e-01
P42684	P17676	49	5.62500e-01
P04626	P43405	50	5.62500e-01
P43405	P40763	50	5.62500e-01
