#tail	head	KSP index	path cost
Q9Y6Q6	Q14192	1	7.50000e-01
Q9Y6Q6	O14920	2	7.50000e-01
Q9Y6Q6	Q9Y6K9	3	7.50000e-01
O14920	P25963	4	5.62500e-01
O14920	Q9Y6K9	5	5.62500e-01
Q9Y6Q6	O15111	6	5.62500e-01
O15111	O14920	6	5.62500e-01
O15111	P25963	7	5.62500e-01
O15111	Q9Y6K9	8	5.62500e-01
Q9Y6Q6	O43318	9	5.62500e-01
O43318	O14920	9	5.62500e-01
O43318	P25963	10	5.62500e-01
O43318	Q9Y6K9	11	5.62500e-01
Q9Y6Q6	P07948	12	5.62500e-01
P07948	O14920	12	5.62500e-01
P07948	P00519	13	5.62500e-01
Q9Y6Q6	P12931	14	5.62500e-01
P12931	O14920	14	5.62500e-01
P12931	P00519	15	5.62500e-01
P12931	P25963	16	5.62500e-01
P12931	Q9Y6K9	17	5.62500e-01
Q9Y6Q6	P27986	18	5.62500e-01
P27986	P00519	18	5.62500e-01
P27986	P25963	19	5.62500e-01
Q9Y6Q6	Q12933	20	5.62500e-01
Q12933	O14920	20	5.62500e-01
Q12933	P25963	21	5.62500e-01
Q12933	Q9Y6K9	22	5.62500e-01
Q9Y6Q6	Q13077	23	5.62500e-01
Q13077	O14920	23	5.62500e-01
Q13077	Q9Y6K9	24	5.62500e-01
Q9Y6Q6	Q13489	25	5.62500e-01
Q13489	O14920	25	5.62500e-01
Q13489	Q9Y6K9	26	5.62500e-01
Q9Y6Q6	Q13546	27	5.62500e-01
Q13546	O14920	27	5.62500e-01
Q13546	P25963	28	5.62500e-01
Q13546	Q9Y6K9	29	5.62500e-01
Q14192	Q01196	30	5.62500e-01
Q9Y6Q6	Q15025	31	5.62500e-01
Q15025	O14920	31	5.62500e-01
Q15025	Q9Y6K9	32	5.62500e-01
Q9Y6Q6	Q15628	33	5.62500e-01
Q15628	O14920	33	5.62500e-01
Q15628	P25963	34	5.62500e-01
Q15628	Q9Y6K9	35	5.62500e-01
Q9Y6Q6	Q15750	36	5.62500e-01
Q15750	O14920	36	5.62500e-01
Q15750	Q9Y6K9	37	5.62500e-01
Q9Y6Q6	Q96EP0	38	5.62500e-01
Q96EP0	O14920	38	5.62500e-01
Q96EP0	Q9Y6K9	39	5.62500e-01
Q9Y6Q6	Q9BYM8	40	5.62500e-01
Q9BYM8	O14920	40	5.62500e-01
Q9BYM8	Q9Y6K9	41	5.62500e-01
Q9Y6Q6	Q9NYJ8	42	5.62500e-01
Q9NYJ8	O14920	42	5.62500e-01
Q9NYJ8	Q9Y6K9	43	5.62500e-01
Q9Y6Q6	Q9Y4K3	44	5.62500e-01
Q9Y4K3	O14920	44	5.62500e-01
Q9Y6Q6	Q13114	45	5.62500e-01
