#tail	head	KSP index	path cost
P04234	P04150	1	5.62500e-01
P04150	P16220	1	5.62500e-01
P04150	P05412	2	5.62500e-01
P04150	P17676	3	5.62500e-01
P04150	P51692	4	5.62500e-01
P04150	Q04206	5	5.62500e-01
P04150	Q92793	6	5.62500e-01
P04234	P27824	7	5.62500e-01
P27824	P15336	7	5.62500e-01
P07766	P06239	8	5.62500e-01
P06239	P25963	8	5.62500e-01
P06239	P42229	9	5.62500e-01
P06239	Q07666	10	5.62500e-01
P07766	P20963	11	5.62500e-01
P20963	P42229	11	5.62500e-01
P20963	P51692	12	5.62500e-01
P20963	Q9H6Q3	13	5.62500e-01
P07766	P43405	14	5.62500e-01
P43405	P42229	14	5.62500e-01
P07766	P16333	15	5.62500e-01
P16333	Q07666	15	5.62500e-01
P07766	P43403	16	5.62500e-01
P43403	Q9H6Q3	16	5.62500e-01
Q12913	P04626	17	5.62500e-01
P04626	P00519	17	5.62500e-01
P04626	P35222	18	5.62500e-01
P04626	Q9H6Q3	19	5.62500e-01
Q12913	P04629	20	5.62500e-01
P04629	P00519	20	5.62500e-01
P04629	P35222	21	5.62500e-01
Q12913	P10721	22	5.62500e-01
P10721	P00519	22	5.62500e-01
Q12913	O60716	23	5.62500e-01
O60716	P15336	23	5.62500e-01
Q12913	P06239	24	5.62500e-01
P10721	P42229	27	5.62500e-01
P10721	P51692	28	5.62500e-01
P10721	Q9H6Q3	29	5.62500e-01
Q12913	P27361	30	5.62500e-01
P27361	O95644	30	5.62500e-01
P27361	P01100	31	5.62500e-01
P27361	P05412	32	5.62500e-01
P27361	P15336	33	5.62500e-01
P27361	P16220	34	5.62500e-01
P27361	P17676	35	5.62500e-01
P27361	P42229	36	5.62500e-01
P27361	Q92793	37	5.62500e-01
Q12913	P28482	38	5.62500e-01
P28482	P01100	38	5.62500e-01
Q12913	P08581	39	5.62500e-01
P08581	P35222	39	5.62500e-01
P08581	Q9H6Q3	40	5.62500e-01
Q12913	P19022	41	5.62500e-01
P19022	P35222	41	5.62500e-01
Q12913	O60674	42	5.62500e-01
O60674	P42229	42	5.62500e-01
O60674	P51692	43	5.62500e-01
O60674	Q14765	44	5.62500e-01
Q12913	P09619	45	5.62500e-01
P09619	P42229	45	5.62500e-01
Q12913	P10912	46	5.62500e-01
P10912	P42229	46	5.62500e-01
P10912	P51692	47	5.62500e-01
Q12913	P19235	48	5.62500e-01
P19235	P42229	48	5.62500e-01
P28482	P05412	49	5.62500e-01
P28482	P15336	50	5.62500e-01
P28482	P16220	51	5.62500e-01
P28482	P17676	52	5.62500e-01
P28482	P42229	53	5.62500e-01
P28482	Q92793	54	5.62500e-01
Q12913	P49023	55	5.62500e-01
P49023	P35222	55	5.62500e-01
Q12913	Q02763	56	5.62500e-01
Q02763	P42229	56	5.62500e-01
Q12913	P19174	57	5.62500e-01
P19174	Q07666	57	5.62500e-01
Q02763	P51692	58	5.62500e-01
Q12913	Q13501	59	5.62500e-01
Q13501	O14920	59	5.62500e-01
Q12913	Q92841	60	5.62500e-01
Q92841	Q92793	60	5.62500e-01
Q12913	Q99569	61	5.62500e-01
Q99569	P35222	61	5.62500e-01
Q96P31	P29350	62	5.62500e-01
P29350	P51692	62	5.62500e-01
P29350	Q07666	63	5.62500e-01
Q96P31	P43403	64	5.62500e-01
Q9HD43	P06239	65	5.62500e-01
Q9HD43	P10912	68	5.62500e-01
Q12913	P36888	70	4.75289e-01
P36888	P42229	70	4.75289e-01
P36888	P51692	71	4.75289e-01
P04234	P01732	72	4.21875e-01
P01732	P06239	72	4.21875e-01
P04150	O60244	75	4.21875e-01
O60244	P00519	75	4.21875e-01
P04150	P00533	76	4.21875e-01
P00533	P01100	76	4.21875e-01
P00533	P35222	77	4.21875e-01
P00533	P42229	78	4.21875e-01
P00533	P51692	79	4.21875e-01
P00533	Q9H6Q3	80	4.21875e-01
P04150	P04637	81	4.21875e-01
P04637	O14920	81	4.21875e-01
P04637	O95644	82	4.21875e-01
P04637	P00519	83	4.21875e-01
P04637	P16220	84	4.21875e-01
P04637	P17676	85	4.21875e-01
P04637	P18146	86	4.21875e-01
P04637	P25963	87	4.21875e-01
P04637	Q04206	88	4.21875e-01
P04637	Q92793	89	4.21875e-01
P04150	P06241	90	4.21875e-01
P06241	P00519	90	4.21875e-01
P06241	P35222	91	4.21875e-01
P06241	Q07666	92	4.21875e-01
P04150	P07900	93	4.21875e-01
P07900	O14920	93	4.21875e-01
P07900	P05412	94	4.21875e-01
P07900	P15336	95	4.21875e-01
P04150	P0DMV8	96	4.21875e-01
P0DMV8	P01100	96	4.21875e-01
P0DMV8	Q04206	97	4.21875e-01
P04150	P10275	98	4.21875e-01
P10275	P00519	98	4.21875e-01
P10275	P05412	99	4.21875e-01
P10275	P15336	100	4.21875e-01
