#tail	head	KSP index	path cost
P05556	P15336	1	7.50000e-01
P05106	P35222	2	7.50000e-01
P36897	O15105	3	7.50000e-01
P36897	O43541	4	7.50000e-01
P36897	P12755	5	7.50000e-01
P36897	P84022	6	7.50000e-01
P36897	P98082	7	7.50000e-01
P36897	Q13485	8	7.50000e-01
P36897	Q15796	9	7.50000e-01
P36897	Q9H0M0	10	7.50000e-01
P36897	Q9UER7	11	7.50000e-01
P37173	O15105	12	7.50000e-01
P37173	P35222	13	7.50000e-01
P37173	P84022	14	7.50000e-01
P37173	P98082	15	7.50000e-01
P37173	Q13485	16	7.50000e-01
P37173	Q15796	17	7.50000e-01
P37173	Q9H0M0	18	7.50000e-01
P37173	Q9HAU4	19	7.50000e-01
P37173	Q9UER7	20	7.50000e-01
P05106	P05771	21	5.62500e-01
P05771	P15336	21	5.62500e-01
P05106	P18031	22	5.62500e-01
P18031	O75925	22	5.62500e-01
P18031	P15336	23	5.62500e-01
P18031	P35222	24	5.62500e-01
P05106	P21333	25	5.62500e-01
P21333	P01106	25	5.62500e-01
P05106	P06756	26	5.62500e-01
P06756	P35222	26	5.62500e-01
P21333	P03372	27	5.62500e-01
P21333	P10275	28	5.62500e-01
P21333	P38398	29	5.62500e-01
P21333	P84022	30	5.62500e-01
P21333	P98082	31	5.62500e-01
P35222	O15105	32	5.62500e-01
P35222	O43524	33	5.62500e-01
P35222	P01100	34	5.62500e-01
P35222	P01106	35	5.62500e-01
P35222	P10275	36	5.62500e-01
P35222	P15336	37	5.62500e-01
P35222	P15884	38	5.62500e-01
P35222	P17844	39	5.62500e-01
P35222	P29590	40	5.62500e-01
P35222	P38398	41	5.62500e-01
P35222	P41235	42	5.62500e-01
P35222	P84022	43	5.62500e-01
P35222	P98177	44	5.62500e-01
P35222	Q09472	45	5.62500e-01
P35222	Q13485	46	5.62500e-01
P35222	Q13547	47	5.62500e-01
P35222	Q13761	48	5.62500e-01
P35222	Q15583	49	5.62500e-01
P35222	Q15796	50	5.62500e-01
P35222	Q92793	51	5.62500e-01
P35222	Q9GZV5	52	5.62500e-01
P35222	Q9UJU2	53	5.62500e-01
P35222	Q9UPN9	54	5.62500e-01
P05106	P37173	55	5.62500e-01
P05106	P49023	64	5.62500e-01
P49023	P10275	64	5.62500e-01
P49023	P35222	65	5.62500e-01
P05106	Q05397	66	5.62500e-01
Q05397	O75925	66	5.62500e-01
Q05397	P04637	67	5.62500e-01
P05106	Q06124	68	5.62500e-01
Q06124	P10275	68	5.62500e-01
P05106	O75369	69	5.62500e-01
O75369	Q9HAU4	69	5.62500e-01
P05106	Q9UBP9	70	5.62500e-01
Q9UBP9	Q13573	70	5.62500e-01
