#tail	head	KSP index	path cost
P08069	Q9Y2W7	1	7.50000e-01
P08069	P40763	2	7.50000e-01
P16473	P40763	3	7.50000e-01
P16473	Q9Y2W7	4	7.50000e-01
P08069	P18031	5	5.62500e-01
P18031	P15336	5	5.62500e-01
P18031	P25963	6	5.62500e-01
P18031	P40763	7	5.62500e-01
P08069	P27986	8	5.62500e-01
P27986	P25963	8	5.62500e-01
P27986	P40763	9	5.62500e-01
P08069	P31946	10	5.62500e-01
P31946	P15336	10	5.62500e-01
P08069	P35222	11	5.62500e-01
P35222	P15336	11	5.62500e-01
P08069	O00459	12	5.62500e-01
O00459	P40763	12	5.62500e-01
P08069	O14508	13	5.62500e-01
O14508	P40763	13	5.62500e-01
P08069	O14543	14	5.62500e-01
O14543	P40763	14	5.62500e-01
P08069	P03372	15	5.62500e-01
P03372	P40763	15	5.62500e-01
P08069	P22681	16	5.62500e-01
P22681	P40763	16	5.62500e-01
P08069	P42336	17	5.62500e-01
P42336	P40763	17	5.62500e-01
P08069	P48357	18	5.62500e-01
P48357	P40763	18	5.62500e-01
P08069	P61981	19	5.62500e-01
P61981	P15336	19	5.62500e-01
P08069	P63244	20	5.62500e-01
P63244	P06400	20	5.62500e-01
P63244	P40763	21	5.62500e-01
P08069	Q05397	22	5.62500e-01
Q05397	P40763	22	5.62500e-01
P08069	Q06124	23	5.62500e-01
Q06124	P40763	23	5.62500e-01
P08069	Q92569	24	5.62500e-01
Q92569	P06400	24	5.62500e-01
Q92569	P40763	25	5.62500e-01
P16473	P05023	26	5.62500e-01
P05023	P15336	26	5.62500e-01
P16473	P11021	27	5.62500e-01
P11021	P25963	27	5.62500e-01
P11021	Q15653	28	5.62500e-01
P16473	P27797	29	5.62500e-01
P27797	P15336	29	5.62500e-01
P16473	P27824	30	5.62500e-01
P27824	P15336	30	5.62500e-01
P16473	P27986	31	5.62500e-01
P16473	O60674	32	5.62500e-01
O60674	P40763	32	5.62500e-01
P16473	P07550	33	5.62500e-01
P07550	P40763	33	5.62500e-01
P16473	P23458	34	5.62500e-01
P23458	P40763	34	5.62500e-01
P08069	P62993	36	4.75289e-01
P62993	P06400	36	4.75289e-01
P08069	P08238	37	4.38306e-01
P08238	Q15653	37	4.38306e-01
O00459	P16144	38	4.21875e-01
P16144	P15336	38	4.21875e-01
O00459	P0CG47	39	4.21875e-01
P0CG47	P25963	39	4.21875e-01
O00459	P19438	40	4.21875e-01
P19438	P25963	40	4.21875e-01
O00459	P27348	41	4.21875e-01
P27348	P25963	41	4.21875e-01
O00459	P27986	42	4.21875e-01
O00459	P31749	44	4.21875e-01
P31749	P15336	44	4.21875e-01
O00459	P31751	45	4.21875e-01
P31751	P15336	45	4.21875e-01
O00459	P31946	46	4.21875e-01
O00459	P07332	47	4.21875e-01
P07332	P40763	47	4.21875e-01
O00459	P14784	48	4.21875e-01
P14784	P40763	48	4.21875e-01
O00459	P42229	49	4.21875e-01
P42229	P40763	49	4.21875e-01
O00459	P42336	50	4.21875e-01
O00459	P48357	51	4.21875e-01
O00459	P49407	52	4.21875e-01
P49407	P25963	52	4.21875e-01
O00459	P62993	53	4.21875e-01
O00459	P63000	54	4.21875e-01
P63000	P40763	54	4.21875e-01
O00459	Q05397	55	4.21875e-01
O00459	Q06124	56	4.21875e-01
O00459	Q92569	57	4.21875e-01
O00459	Q9Y243	59	4.21875e-01
Q9Y243	P15336	59	4.21875e-01
O14508	P06213	60	4.21875e-01
P06213	P25963	60	4.21875e-01
O14508	O14543	61	4.21875e-01
O14508	O60674	62	4.21875e-01
O14508	P14784	63	4.21875e-01
O14508	P16871	64	4.21875e-01
P16871	P40763	64	4.21875e-01
O14508	P17181	65	4.21875e-01
P17181	P40763	65	4.21875e-01
O14508	P23458	66	4.21875e-01
O14508	P29597	67	4.21875e-01
P29597	P40763	67	4.21875e-01
O14508	P40189	68	4.21875e-01
P40189	P40763	68	4.21875e-01
O14508	P42224	69	4.21875e-01
P42224	P40763	69	4.21875e-01
O14508	P42229	70	4.21875e-01
O14508	P48357	71	4.21875e-01
O14508	P51692	72	4.21875e-01
P51692	P40763	72	4.21875e-01
O14508	P52333	73	4.21875e-01
P52333	P40763	73	4.21875e-01
O14508	Q05397	74	4.21875e-01
O14508	Q13651	75	4.21875e-01
Q13651	P40763	75	4.21875e-01
O14508	Q14289	76	4.21875e-01
Q14289	P40763	76	4.21875e-01
O14508	Q99062	77	4.21875e-01
Q99062	P40763	77	4.21875e-01
O14543	P10275	78	4.21875e-01
P10275	P06400	78	4.21875e-01
O14543	P05067	79	4.21875e-01
P05067	P15336	79	4.21875e-01
O14543	O43318	80	4.21875e-01
O43318	P25963	80	4.21875e-01
O43318	P40763	81	4.21875e-01
P05067	Q15653	82	4.21875e-01
O14543	P06213	83	4.21875e-01
O14543	O14508	84	4.21875e-01
O14543	O60674	85	4.21875e-01
O14543	P00533	86	4.21875e-01
P00533	P40763	86	4.21875e-01
P10275	P15336	87	4.21875e-01
P10275	P40763	88	4.21875e-01
O14543	P14784	89	4.21875e-01
O14543	P16871	90	4.21875e-01
O14543	P17181	91	4.21875e-01
O14543	P29597	92	4.21875e-01
O14543	P40189	93	4.21875e-01
O14543	P42224	94	4.21875e-01
O14543	P42229	95	4.21875e-01
O14543	P48357	96	4.21875e-01
O14543	P49748	97	4.21875e-01
P49748	P15336	97	4.21875e-01
O14543	P51692	98	4.21875e-01
O14543	P52333	99	4.21875e-01
O14543	Q05397	100	4.21875e-01
O14543	Q06124	101	4.21875e-01
O14543	Q13651	102	4.21875e-01
O14543	Q14186	103	4.21875e-01
Q14186	P06400	103	4.21875e-01
O14543	Q14289	104	4.21875e-01
O14543	Q99062	105	4.21875e-01
O14543	Q9NP31	106	4.21875e-01
Q9NP31	P40763	106	4.21875e-01
O14543	Q9UHD2	107	4.21875e-01
Q9UHD2	P25963	107	4.21875e-01
P08069	O15530	108	4.21875e-01
O15530	P05771	108	4.21875e-01
P05771	P15336	108	4.21875e-01
P08069	O00329	109	4.21875e-01
O00329	P16144	109	4.21875e-01
O00329	P27986	110	4.21875e-01
