#tail	head	KSP index	path cost
P16871	P42229	1	7.50000e-01
P16871	P51692	2	7.50000e-01
P16871	O60674	3	5.62500e-01
O60674	P42229	3	5.62500e-01
O60674	P51692	4	5.62500e-01
P16871	P10721	5	5.62500e-01
P10721	P42229	5	5.62500e-01
P10721	P51692	6	5.62500e-01
P16871	P23458	7	5.62500e-01
P23458	P42229	7	5.62500e-01
P23458	P51692	8	5.62500e-01
P16871	P27986	9	5.62500e-01
P27986	P42229	9	5.62500e-01
P16871	P29597	10	5.62500e-01
P29597	P42229	10	5.62500e-01
P29597	P51692	11	5.62500e-01
P16871	P40763	12	5.62500e-01
P40763	P42229	12	5.62500e-01
P40763	P51692	13	5.62500e-01
P16871	P52333	14	5.62500e-01
P52333	P42229	14	5.62500e-01
P52333	P51692	15	5.62500e-01
O60674	O00459	16	4.21875e-01
O00459	P42229	16	4.21875e-01
O60674	O14543	17	4.21875e-01
O14543	P42229	17	4.21875e-01
O14543	P51692	18	4.21875e-01
O60674	P03372	19	4.21875e-01
P03372	P42229	19	4.21875e-01
O60674	P10721	20	4.21875e-01
O60674	P12931	22	4.21875e-01
P12931	P42229	22	4.21875e-01
P12931	P51692	23	4.21875e-01
O60674	P16471	24	4.21875e-01
P16471	P42229	24	4.21875e-01
O60674	P18031	25	4.21875e-01
P18031	P42229	25	4.21875e-01
P18031	P51692	26	4.21875e-01
O60674	P19235	27	4.21875e-01
P19235	P42229	27	4.21875e-01
O60674	P23458	28	4.21875e-01
O60674	P27986	30	4.21875e-01
O60674	P29353	31	4.21875e-01
P29353	P42229	31	4.21875e-01
O60674	P38398	32	4.21875e-01
P38398	P42229	32	4.21875e-01
O60674	P40763	33	4.21875e-01
O60674	P42224	35	4.21875e-01
P42224	P42229	35	4.21875e-01
P42224	P51692	36	4.21875e-01
O60674	P52333	37	4.21875e-01
O60674	P67775	39	4.21875e-01
P67775	P42229	39	4.21875e-01
P67775	P51692	40	4.21875e-01
O60674	Q06124	41	4.21875e-01
Q06124	P42229	41	4.21875e-01
Q06124	P51692	42	4.21875e-01
O60674	Q15303	43	4.21875e-01
Q15303	P42229	43	4.21875e-01
Q15303	P51692	44	4.21875e-01
O60674	Q9UGK3	45	4.21875e-01
Q9UGK3	P42229	45	4.21875e-01
Q9UGK3	P51692	46	4.21875e-01
P16871	P06241	47	4.21875e-01
P06241	O00459	47	4.21875e-01
P06241	O15524	48	4.21875e-01
O15524	P42229	48	4.21875e-01
O15524	P51692	49	4.21875e-01
P06241	O60674	50	4.21875e-01
P06241	P00519	52	4.21875e-01
P00519	P42229	52	4.21875e-01
P00519	P51692	53	4.21875e-01
P06241	P10721	54	4.21875e-01
P06241	P12931	56	4.21875e-01
P06241	P14784	58	4.21875e-01
P14784	P42229	58	4.21875e-01
P14784	P51692	59	4.21875e-01
P06241	P16410	60	4.21875e-01
P16410	P42229	60	4.21875e-01
P16410	P51692	61	4.21875e-01
P06241	P16471	62	4.21875e-01
P06241	P20963	63	4.21875e-01
P20963	P42229	63	4.21875e-01
P20963	P51692	64	4.21875e-01
P06241	P22681	65	4.21875e-01
P22681	P42229	65	4.21875e-01
P06241	P27986	66	4.21875e-01
P06241	P29353	67	4.21875e-01
P06241	P29597	68	4.21875e-01
P06241	P32927	70	4.21875e-01
P32927	P42229	70	4.21875e-01
P06241	P40763	71	4.21875e-01
P06241	P43405	73	4.21875e-01
P43405	P42229	73	4.21875e-01
P06241	P04150	74	4.21875e-01
P04150	P51692	74	4.21875e-01
P06241	Q06124	75	4.21875e-01
P10721	O00459	77	4.21875e-01
P10721	O14508	78	4.21875e-01
O14508	P42229	78	4.21875e-01
