#tail	head	KSP index	path cost
Q93038	P28482	1	4.80133e-01
P28482	Q04206	1	4.80133e-01
Q93038	O43508	2	4.21875e-01
O43508	Q12933	2	4.21875e-01
Q12933	Q00653	2	4.21875e-01
Q93038	Q15628	3	4.21875e-01
Q15628	O14920	3	4.21875e-01
O14920	Q00653	3	4.21875e-01
O14920	Q01201	4	4.21875e-01
O14920	Q04206	5	4.21875e-01
Q15628	O15111	6	4.21875e-01
O15111	Q00653	6	4.21875e-01
O15111	Q01201	7	4.21875e-01
O15111	Q04206	8	4.21875e-01
Q15628	O95831	9	4.21875e-01
O95831	Q00653	9	4.21875e-01
Q15628	P04350	10	4.21875e-01
P04350	Q00653	10	4.21875e-01
P04350	Q01201	11	4.21875e-01
Q15628	P07437	12	4.21875e-01
P07437	Q00653	12	4.21875e-01
P07437	Q01201	13	4.21875e-01
Q15628	P07900	14	4.21875e-01
P07900	Q00653	14	4.21875e-01
Q15628	P0CG48	15	4.21875e-01
P0CG48	Q00653	15	4.21875e-01
P0CG48	Q01201	16	4.21875e-01
P0CG48	Q04206	17	4.21875e-01
Q15628	P11142	18	4.21875e-01
P11142	Q00653	18	4.21875e-01
P11142	Q01201	19	4.21875e-01
P11142	Q04206	20	4.21875e-01
Q15628	P19438	21	4.21875e-01
P19438	Q00653	21	4.21875e-01
P19438	Q04206	22	4.21875e-01
Q15628	P23396	23	4.21875e-01
P23396	Q00653	23	4.21875e-01
P23396	Q04206	24	4.21875e-01
Q15628	P25963	25	4.21875e-01
P25963	Q00653	25	4.21875e-01
P25963	Q01201	26	4.21875e-01
P25963	Q04206	27	4.21875e-01
Q15628	P27708	28	4.21875e-01
P27708	Q00653	28	4.21875e-01
P27708	Q01201	29	4.21875e-01
Q15628	P31689	30	4.21875e-01
P31689	Q00653	30	4.21875e-01
Q15628	P34931	31	4.21875e-01
P34931	Q00653	31	4.21875e-01
P34931	Q01201	32	4.21875e-01
P34931	Q04206	33	4.21875e-01
Q15628	P42677	34	4.21875e-01
P42677	Q00653	34	4.21875e-01
Q15628	P62158	35	4.21875e-01
P62158	Q00653	35	4.21875e-01
P62158	Q01201	36	4.21875e-01
P62158	Q04206	37	4.21875e-01
Q15628	P62249	38	4.21875e-01
P62249	Q00653	38	4.21875e-01
Q15628	P78527	39	4.21875e-01
P78527	Q00653	39	4.21875e-01
P78527	Q01201	40	4.21875e-01
P78527	Q04206	41	4.21875e-01
Q15628	Q00610	42	4.21875e-01
Q00610	Q00653	42	4.21875e-01
Q15628	P63000	43	4.21875e-01
P63000	Q01201	43	4.21875e-01
Q15628	P63261	44	4.21875e-01
P63261	Q01201	44	4.21875e-01
Q15628	O43318	45	4.21875e-01
O43318	Q04206	45	4.21875e-01
Q15628	P15941	46	4.21875e-01
P15941	Q04206	46	4.21875e-01
Q15628	P34932	47	4.21875e-01
P34932	Q04206	47	4.21875e-01
Q15628	P42224	48	4.21875e-01
P42224	Q04206	48	4.21875e-01
Q00610	Q01201	49	4.21875e-01
Q15628	Q05639	50	4.21875e-01
Q05639	Q00653	50	4.21875e-01
Q15628	Q05655	51	4.21875e-01
Q05655	Q04206	51	4.21875e-01
Q15628	Q07021	52	4.21875e-01
Q07021	Q01201	52	4.21875e-01
Q15628	Q12933	53	4.21875e-01
Q15628	Q13077	54	4.21875e-01
Q13077	Q00653	54	4.21875e-01
