#tail	head	KSP index	path cost
P08138	Q9Y4K3	1	5.62500e-01
Q9Y4K3	Q04206	1	5.62500e-01
P04629	P00519	2	5.62500e-01
P00519	P04637	2	5.62500e-01
P00519	P05412	3	5.62500e-01
P04629	P08238	4	5.62500e-01
P08238	P19838	4	5.62500e-01
P04629	P29353	5	5.62500e-01
P29353	O43524	5	5.62500e-01
P04629	P35222	6	5.62500e-01
P35222	O43524	6	5.62500e-01
P35222	P19838	7	5.62500e-01
P35222	Q04206	8	5.62500e-01
P04629	Q13501	9	5.62500e-01
Q13501	P04637	9	5.62500e-01
P04629	P62993	10	5.62500e-01
P62993	Q96GC6	10	5.62500e-01
P08138	P05067	11	5.62500e-01
P05067	P05412	11	5.62500e-01
P08138	P29353	12	5.62500e-01
P08138	Q12933	13	5.62500e-01
Q12933	P19838	13	5.62500e-01
P08138	Q13501	14	5.62500e-01
P08138	Q99608	15	5.62500e-01
Q99608	P04637	15	5.62500e-01
Q9Y4K3	P19838	16	5.62500e-01
Q9Y4K3	Q96GC6	17	5.62500e-01
Q16288	P29353	18	5.62500e-01
Q16288	P35222	19	5.62500e-01
Q16288	Q13501	22	5.62500e-01
Q16288	P62993	23	5.62500e-01
Q12933	P05412	24	4.80133e-01
P04629	P16885	25	4.75289e-01
P16885	P04637	25	4.75289e-01
P08138	P60953	26	4.75289e-01
P60953	P04637	26	4.75289e-01
P08138	P62993	27	4.75289e-01
Q16288	P16885	28	4.75289e-01
P08138	Q96GC6	29	4.54754e-01
Q16288	P08238	30	4.38306e-01
P04629	P01111	31	4.31315e-01
P01111	P05412	31	4.31315e-01
P04629	P01112	32	4.31315e-01
P01112	P05412	32	4.31315e-01
P04629	P01116	33	4.31315e-01
P01116	P05412	33	4.31315e-01
P00519	O14746	34	4.21875e-01
O14746	O43524	34	4.21875e-01
P00519	P03372	35	4.21875e-01
P03372	O43524	35	4.21875e-01
P00519	O15151	36	4.21875e-01
O15151	P04637	36	4.21875e-01
P00519	O15350	37	4.21875e-01
O15350	P04637	37	4.21875e-01
P00519	P01106	38	4.21875e-01
P01106	P04637	38	4.21875e-01
P01106	P05412	39	4.21875e-01
P01106	Q04206	40	4.21875e-01
P03372	P04637	41	4.21875e-01
P03372	P05412	42	4.21875e-01
P03372	P19838	43	4.21875e-01
P03372	Q04206	44	4.21875e-01
P04637	O43524	45	4.21875e-01
P04637	Q04206	46	4.21875e-01
P00519	P05067	47	4.21875e-01
P05412	P18848	48	4.21875e-01
P05412	P19838	49	4.21875e-01
P05412	Q04206	50	4.21875e-01
P00519	P06400	51	4.21875e-01
P06400	O43524	51	4.21875e-01
P06400	P05412	52	4.21875e-01
P00519	P08047	53	4.21875e-01
P08047	P04637	53	4.21875e-01
P08047	P05412	54	4.21875e-01
P08047	P19838	55	4.21875e-01
P00519	P0CG48	56	4.21875e-01
P0CG48	P04637	56	4.21875e-01
P0CG48	P05412	57	4.21875e-01
P0CG48	Q04206	58	4.21875e-01
P00519	P10275	59	4.21875e-01
P10275	P04637	59	4.21875e-01
P10275	P05412	60	4.21875e-01
P00519	P11142	61	4.21875e-01
P11142	P05412	61	4.21875e-01
P11142	P19838	62	4.21875e-01
P11142	Q04206	63	4.21875e-01
P00519	P11274	64	4.21875e-01
P11274	P04637	64	4.21875e-01
