"IPI Accession"	"IPI Description"	"Main Class"	Classification	"Protein coding"	"Phobius TM"	"Phobius SP"	"Phobius Topology"	"SOSUI TM"	"SOSUI TOPOLOGY"	"TMHMM TM"	"TMHMM Topology"
IPI00218646	"CYBB Cytochrome b-245 heavy chain"	Enzymes	1	Valid	5	0	o12-33i45-69o103-121i167-192o204-221i	5	11-33,50-72,169-191,207-229,401-423	4	o10-32i98-120o168-190i202-224o
IPI00292186	"NOX1 Isoform NOH-1L of NADPH oxidase homolog 1"	Enzymes	1	Valid	5	0	o12-33i45-69o103-121i167-189o209-227i	5	8-30,100-122,169-191,208-230,269-291	6	o5-27i47-69o104-123i168-190o205-227i397-419o
IPI00396920	"- Uncharacterized protein ENSP00000330812 (Fragment)"	Enzymes	1.1	Valid	1	0	i364-381o	1	360-382	1	i364-381o
IPI00029015	"FVT1 3-ketodihydrosphingosine reductase precursor"	Enzymes	1.1	Valid	0	Y	n2-17c25/26o294-315i	0	0	0	o
IPI00021770	"HMGCR Isoform 1 of 3-hydroxy-3-methylglutaryl-coenzyme A reductase"	Enzymes	1.1	Valid	8	0	i20-37o57-78i90-113o125-145i157-182o202-220i323-339o838-863i	6	17-38,58-80,88-110,160-182,196-218,317-339	5	i20-37o57-78i91-113o157-179i192-214o
IPI00005682	"HSD11B1 Corticosteroid 11-beta-dehydrogenase isozyme 1"	Enzymes	1.1	Valid	1	0	i7-23o	3	7-29,150-172,201-223	1	i7-24o
IPI00007676	"HSD17B12 Estradiol 17-beta-dehydrogenase 12"	Enzymes	1.1	Valid	3	0	o6-24i183-204o272-291i	1	11963	3	o4-26i182-204o272-294i
IPI00019872	"HSD17B2 Estradiol 17-beta-dehydrogenase 2"	Enzymes	1.1	Valid	1	Y	n9-20c25/26o35-68i	2	8-30,35-57	1	i12-34o
IPI00011970	"HSD17B7 Isoform 1 of 3-keto-steroid reductase"	Enzymes	1.1	Valid	0	Y	n4-19c24/25o230-253i	0	0	0	o
IPI00106783	"HSD3B7 3 beta-hydroxysteroid dehydrogenase type 7"	Enzymes	1.1	Valid	1	0	o289-309i	2	5-27,296-318	2	o283-305i312-334o
IPI00163504	"HSPC105 NAD(P) dependent steroid dehydrogenase-like"	Enzymes	1.1	Valid	2	0	o285-305i367-385o	1	368-390	2	o282-304i366-385o
IPI00019407	"NSDHL Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating"	Enzymes	1.1	Valid	1	0	o298-318i	1	296-318	1	o296-318i
IPI00031000	"VKORC1 Isoform 1 of Vitamin K epoxide reductase complex subunit 1"	Enzymes	1.1	Valid	5	0	o12-29i41-60o80-97i104-122o128-150i	3	11-31,75-97,116-138	3	o10-29i101-123o127-149i
IPI00246994	"HSD3B1 Hydroxy-delta-5-steroid dehydrogenase, 3 beta-and steroid delta- isomerase 1"	Enzymes	1.1.1.145/5.3.3.1	Valid	1	0	o292-311i	0	0	1	o288-310i
IPI00218494	"HSD3B2 3 beta-hydroxysteroid dehydrogenase/Delta 5--4-isomerase type 2"	Enzymes	1.1.1.145/5.3.3.1	Valid	1	0	o289-308i	1	285-307	1	o288-310i
IPI00000129	"UCRC HSPC151"	Enzymes	1.10	Valid	1	0	o14-32i	0	0	1	i13-32o
IPI00024757	"UQCR Cytochrome b-c1 complex subunit 10"	Enzymes	1.10	Valid	1	0	i21-41o	0	0	1	i13-35o
IPI00024742	"UQCRQ Cytochrome b-c1 complex subunit 8"	Enzymes	1.10	Valid	1	0	o45-63i	1	43-65	0	o
IPI00289572	"TPO Isoform 1 of Thyroid peroxidase precursor"	Enzymes	1.11	Valid	1	Y	n3-13c18/19o849-871i	1	830-852	1	o831-853i
IPI00182560	"CYP4F22 Cytochrome P450 4F22"	Enzymes	1.14	Valid	3	0	o20-40i95-112o480-498i	1	20-42	1	i21-40o
IPI00619963	"CYP4V2 Isoform 1 of Cytochrome P450 4V2"	Enzymes	1.14	Valid	1	0	o13-34i	1	11963	1	i13-35o
IPI00294834	"ASPH Aspartyl/asparaginyl beta-hydroxylase"	Enzymes	1.14.11	Valid	1	0	i54-75o	1	53-75	1	i53-75o
