gene_symbol	entrez_human	entrez_rat	entrez_mouse	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	Vaquerizas.et.al	ORFeome	Ravasi.et.al	TFCat	JASPAR	GOC	DBD	TcoF.DB	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5
CAMTA1	23261	362665	100072	G3V3Z7,Q9Y6Y1	Q3KQW8	Q3TYE0,A2A891	calmodulin binding transcription activator 1	CANPMR	yes	21857646	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	TcoF-DB	21857646	9606	0	0	0	0	0	0	0	0	0	0
SP110	3431	301570	109032	B4DVI4,Q9HB58,F5H1M1	Q3KRF1	Q8BVK9	SP110 nuclear body protein	IFI41|IFI75|IPR1|VODI	yes	17492906	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	17492906	9606	0	0	0	0	0	0	0	0	0	0
DBX1	120237	292934	13172	A6NMT0	Q5NSW5	P52950	developing brain homeobox 1	-	yes	17729296, 21552538	Author statement	AnimalTFDB	Vaquerizas et al	0	0	TFCat	0	GOC	DBD	0	21552538	10090	17729296	10090	0	0	0	0	0	0	0	0
GBX1	2636	246149	231044	Q14549		P82976	gastrulation brain homeobox 1	-	yes	16193514, 16193514	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	TFCat	0	GOC	DBD	TcoF-DB	16193514	10090	16193514	0	0	0	0	0	0	0	0	0
OTP	23440	294640	18420	Q5XKR4	G3V7E0	O09113	orthopedia homeobox	-	yes	19383874, 20495559	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	0	DBD	TcoF-DB	20495559	9606	19383874	9606	0	0	0	0	0	0	0	0
PRDM2	7799	313678	110593	B1AJZ4,Q13029,Q5THJ1	Q63755	A2A7B5,Q8C2W5,B9EKQ3	PR domain containing 2, with ZNF domain	HUMHOXY1|KMT8|MTB-ZF|RIZ|RIZ1|RIZ2	yes	7590293, 8654390	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	8654390	0	7590293	0	0	0	0	0	0	0	0	0
ZNF429	353088	0	0	Q86V71			zinc finger protein 429	-	yes	19207018, 19008334	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	0	DBD	0	19207018	9606	19008334	9606	0	0	0	0	0	0	0	0
ZNF674	641339	0	0	Q2M3X9			zinc finger protein 674	MRX92|ZNF673B	yes	20691945, 16385466	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	0	0	0	20691945	9606	16385466	9606	0	0	0	0	0	0	0	0
ZNF80	7634	295695	630579	P51504		B8JJZ4,Q6P8L0	zinc finger protein 80	PT17	yes	7659503, 1768617	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	7659503	9606	1768617	9606	0	0	0	0	0	0	0	0
HES4	57801	0	0	E9PB28,Q9HCC6			hairy and enhancer of split 4 (Drosophila)	BHLHB42	yes	17611704, 11260262	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17611704	9606	11260262	9606	0	0	0	0	0	0	0	0
ARNTL2	56938	362464	272322	Q8WYA1		Q2VPD4	aryl hydrocarbon receptor nuclear translocator-like 2	BMAL2|CLIF|MOP9|PASD9|BHLHE6	yes	16893914	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	16893914	10090	0	0	0	0	0	0	0	0	0	0
BARX1	56033	364680	12022	Q9HBU1	D3ZA67	Q9ER42	BARX homeobox 1	-	yes	15809042	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15809042	10090	0	0	0	0	0	0	0	0	0	0
BBX	56987	303970	70508	Q8WY36,A8K6U2	A1L1L0	Q8VBW5	bobby sox homolog (Drosophila)	HBP2|HSPC339|MDS001	yes	11680820	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	11680820	9606	0	0	0	0	0	0	0	0	0	0
BHLHA9	727857	363656	320522	Q7RTU4	D3ZY30	Q5RJB0	basic helix-loop-helix family, member a9	BHLHF42	yes	22147889	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	0	22147889	9606	0	0	0	0	0	0	0	0	0	0
BHLHE23	128408	499952	140489	Q8NDY6	D3ZU26	Q0VEJ8,Q8BGW3	basic helix-loop-helix family, member e23	BETA4|BHLHB4|BA305P22.3	yes	15363390	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	TcoF-DB	15363390	0	0	0	0	0	0	0	0	0	0	0
CREBL2	1389	362453	232430	O60519	Q5BJU6	Q32M00	cAMP responsive element binding protein-like 2	-	yes	21728997	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	21728997	9606	0	0	0	0	0	0	0	0	0	0
DBX2	440097	541457	223843	Q6ZNG2	F1LRM4	F8VQH7,Q8BZD0	developing brain homeobox 2	-	yes	20081190	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	TcoF-DB	20081190	10090	0	0	0	0	0	0	0	0	0	0
DLX1	1745	296500	13390	P56177	G3V669	A2ATU7,Q64317	distal-less homeobox 1	-	yes	17409112	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17409112	10090	0	0	0	0	0	0	0	0	0	0
DPF1	8193	50545	29861	Q6PJ73,Q92782	B0K016	Q9QX66,Q6GTK4	D4, zinc and double PHD fingers family 1	BAF45B|NEUD4|NEURO-D4	yes	11078465	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	11078465	0	0	0	0	0	0	0	0	0	0	0
DRGX	644168	252880	107751	C9JW76	Q62798	Q8BYH0	dorsal root ganglia homeobox	DRG11|PRRXL1	yes	19598127	Author statement	AnimalTFDB	Vaquerizas et al	0	0	TFCat	0	GOC	DBD	0	19598127	10090	0	0	0	0	0	0	0	0	0	0
EMX1	2016	500235	13796	Q04741	D3ZV90	Q04742	empty spiracles homeobox 1	-	yes	16793035	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	16793035	10090	0	0	0	0	0	0	0	0	0	0
EMX2	2018	499380	13797	G3V305,Q04743	D3ZCK7	Q04744	empty spiracles homeobox 2	-	yes	16793035	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	16793035	10090	0	0	0	0	0	0	0	0	0	0
EN2	2020	499964	13799	P19622	D3Z8B1	Q3TZM2,P09066	engrailed homeobox 2	-	yes	21364037	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	21364037	9606	0	0	0	0	0	0	0	0	0	0
FOXB2	442425	691398	14240	Q5VYV0		Q64733,B9EII5	forkhead box B2	BA159H20.4	yes	12297093	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	0	12297093	generic	0	0	0	0	0	0	0	0	0	0
FOXD4L1	200350	0	0	Q9NU39,B3KVK3			forkhead box D4-like 1	FOXD5|BA395L14.1	yes	20650821	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	20650821	9606	0	0	0	0	0	0	0	0	0	0
FOXD4L3	286380	0	0	Q6VB84			forkhead box D4-like 3	FOXD4L2|FOXD6	yes	15492844	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15492844	0	0	0	0	0	0	0	0	0	0	0
FOXD4L5	653427	0	0	Q5VV16			forkhead box D4-like 5	BA15J10.2	yes	20081217	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	0	20081217	0	0	0	0	0	0	0	0	0	0	0
FOXD4L6	653404	0	0	Q3SYB3			forkhead box D4-like 6	-	yes	20081217	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	TcoF-DB	20081217	0	0	0	0	0	0	0	0	0	0	0
FOXG1	2290	24370	15228	P55316	Q00939	Q3V1Q8,Q60987	forkhead box G1	BF1|BF2|FHKL3|FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C|HBF-1|HBF-2|HBF-3|HBF-G2|HBF2|HFK1|HFK2|HFK3|KHL2|QIN	yes	17889656	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17889656	9606;10090;10116	0	0	0	0	0	0	0	0	0	0
FOXI2	399823	246073	270004	Q6ZQN5		A2RTG9,Q3I5G5	forkhead box I2	-	yes	16289364	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	0	16289364	10090	0	0	0	0	0	0	0	0	0	0
FOXJ1	2302	116557	15223	Q92949	Q63247	Q640Q8,Q61660	forkhead box J1	FKHL13|HFH-4|HFH4	yes	15516968	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15516968	9606	0	0	0	0	0	0	0	0	0	0
FOXJ3	22887	313554	230700	Q9UPW0	D3ZDB6	Q8BUR3	forkhead box J3	-	yes	17923097	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17923097	9606	0	0	0	0	0	0	0	0	0	0
FOXN2	3344	301676	14236	P32314		E9Q7L6	forkhead box N2	HTLF	yes	17923097	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17923097	9606	0	0	0	0	0	0	0	0	0	0
FOXN3	1112	314374	71375	O00409	D3ZIJ7	Q499D0	forkhead box N3	C14ORF116|CHES1|PRO1635	yes	17923097	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17923097	9606;10090;10116	0	0	0	0	0	0	0	0	0	0
FOXR1	283150	315601	382074	Q6PIV2		Q3UTB7	forkhead box R1	FOXN5	yes	17923097	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	DBD	TcoF-DB	17923097	generic	0	0	0	0	0	0	0	0	0	0
FOXR2	139628	302583	436240	Q6PJQ5	D4ADV2	Q3UM89	forkhead box R2	FOXN6	yes	17923097	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	GOC	0	TcoF-DB	17923097	9606	0	0	0	0	0	0	0	0	0	0
HIC2	23119	287940	58180	Q96JB3	D4A9X7	Q9JLZ6	hypermethylated in cancer 2	HRG22|ZBTB30|ZNF907	yes	11554746	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	11554746	9606	0	0	0	0	0	0	0	0	0	0
HMG20A	10363	315689	66867	Q9NP66	D3Z937	Q9DC33	high mobility group 20A	HMGX1|HMGXB1	yes	10773667	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	0	TcoF-DB	10773667	9606	0	0	0	0	0	0	0	0	0	0
HMGB1P1	10357	679571	434174		D3ZCR3		high mobility group box 1 pseudogene 1	HMG1L1|HMG1L7|HMGB1L1|DJ579F20.1	yes	20081217	Author statement	AnimalTFDB	0	0	0	0	0	GOC	0	0	20081217	9606	0	0	0	0	0	0	0	0	0	0
HOXA6	3203	685732	15403	P31267	G3V6T4	P09092,Q0VEU7	homeobox A6	HOX1|HOX1.2|HOX1B	yes	9247466	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	9247466	9606	0	0	0	0	0	0	0	0	0	0
HOXC5	3222	315341	15424	Q00444	D3ZP88	P32043	homeobox C5	CP11|HOX3|HOX3D	yes	21676974	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	21676974	0	0	0	0	0	0	0	0	0	0	0
IRX2	153572	306657	16372	Q9BZI1	D3ZGA0	P81066	iroquois homeobox 2	IRXA2	yes	15133517	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	15133517	0	0	0	0	0	0	0	0	0	0	0
ISL2	64843	57233	104360	Q96A47	P50480	Q0VAX2,Q9CXV0	ISL LIM homeobox 2	-	yes	17091338	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	17091338	9606	0	0	0	0	0	0	0	0	0	0
KLF3	51274	114845	16599	P57682	D4A4V3	Q545J5,Q60980	Kruppel-like factor 3 (basic)	BKLF	yes	10582345	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	GOC	DBD	TcoF-DB	10582345	9606	0	0	0	0	0	0	0	0	0	0
LHX1	3975	257634	16869	P48742,Q58F18	P63007	P63006,Q569N5	LIM homeobox 1	LIM-1|LIM1	yes	10652534	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	10652534	generic	0	0	0	0	0	0	0	0	0	0
LHX6	26468	311901	16874	H0YN76,Q9UPM6		H9H9T0,A2AL42,Q9R1R0,E9QN32	LIM homeobox 6	LHX6.1	yes	19591819	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19591819	0	0	0	0	0	0	0	0	0	0	0
MYRF	745	293736	225908	Q9Y2G1		F8WJJ9,Q3UR85	myelin regulatory factor	C11ORF9|MRF|NDT80|PQN-47	yes	19596243	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	GOC	DBD	0	19596243	9606	0	0	0	0	0	0	0	0	0	0
NKX1-2	390010	293568	20231	Q9UD57	D3Z9E2	P42580	NK1 homeobox 2	C10ORF121|NKX-1.1|BB238F13.2	yes	20932939	Author statement	AnimalTFDB	0	0	0	TFCat	0	0	0	0	20932939	10090	0	0	0	0	0	0	0	0	0	0
NKX6-3	157848	685102	74561	A6NJ46	D3ZCL0	B2RU70,Q3UHX8	NK6 homeobox 3	NKX6.3	yes	18347062	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	0	18347062	10090	0	0	0	0	0	0	0	0	0	0
NPAS1	4861	308387	18142	Q99742	D3ZJ66	P97459,A2RSH6	neuronal PAS domain protein 1	MOP5|PASD5|BHLHE11	yes	15347806	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	15347806	10090	0	0	0	0	0	0	0	0	0	0
NPAS3	64067	299016	27386	Q8IXF0		F8VQB2	neuronal PAS domain protein 3	MOP6|PASD6|BHLHE12	yes	15347806	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	0	15347806	10090	0	0	0	0	0	0	0	0	0	0
OSR1	130497	298878	23967	Q8TAX0	B0K011	Q9WVG7	odd-skipped related 1 (Drosophila)	ODD	yes	19389375	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	0	DBD	TcoF-DB	19389375	10090	0	0	0	0	0	0	0	0	0	0
OSR2	116039	315039	107587	Q8N2R0	Q6AY34	Q91ZD1	odd-skipped related 2 (Drosophila)	-	yes	19389375	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	0	DBD	TcoF-DB	19389375	10090	0	0	0	0	0	0	0	0	0	0
PEG3	5178	246361	18616	B4DIM4,Q96Q96,Q9GZU2,A7E2B8		Q3URU2	paternally expressed 3	PW1|ZNF904|ZSCAN24	yes	11161803	Author statement	AnimalTFDB	0	0	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	11161803	9606	0	0	0	0	0	0	0	0	0	0
POU3F4	5456	29589	18994	P49335	P62516	P62515,A6H6L6	POU class 3 homeobox 4	BRAIN-4|BRN4|DFN3|DFNX2|OTF-9|OTF9|BRN-4|OCT-9	yes	21555964	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	21555964	9606	0	0	0	0	0	0	0	0	0	0
PRDM10	56980	500964	382066	J3KP23,Q9NQV6		D3YYD1	PR domain containing 10	PFM7	yes	12175877	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	12175877	9606	0	0	0	0	0	0	0	0	0	0
PRDM12	59335	688699	381359	Q9H4Q4	D3ZEJ0	A2AJ77	PR domain containing 12	PFM9	yes	19050759	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19050759	10090	0	0	0	0	0	0	0	0	0	0
PRDM13	59336	689695	230025	Q9H4Q3		E9PZZ1	PR domain containing 13	MU-MB-20.220|PFM10	yes	19050759	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19050759	10090	0	0	0	0	0	0	0	0	0	0
PRDM15	63977	304054	114604	E9PF37,P57071,Q4W8S5	D3ZQ99	E9Q8T2	PR domain containing 15	C21ORF83|PFM15|ZNF298	yes	16618722	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	0	0	0	0	DBD	TcoF-DB	16618722	9606	0	0	0	0	0	0	0	0	0	0
PRDM16	63976	0	70673	Q9HAZ2		A2A935,A2A934	PR domain containing 16	MEL1|PFM13	yes	19050759	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19050759	10090	0	0	0	0	0	0	0	0	0	0
PRDM4	11108	170820	72843	Q9UKN5,B3KPI0	Q9QZP2	Q80V63	PR domain containing 4	PFM1	yes	10552934	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	10552934	9606	0	0	0	0	0	0	0	0	0	0
RHOXF2	84528	0	0	Q9BQY4			Rhox homeobox family, member 2	CT107|PEPP-2|PEPP2|THG1	yes	12490318	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	12490318	9606	0	0	0	0	0	0	0	0	0	0
RHOXF2B	727940	0	0	P0C7M4			Rhox homeobox family, member 2B	-	yes	20081217	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	0	DBD	0	20081217	9606	0	0	0	0	0	0	0	0	0	0
RORC	6097	368158	19885	F1D8P6,P51449,Q6I9R9		P51450	RAR-related orphan receptor C	NR1F3|RORG|RZR-GAMMA|RZRG|TOR	yes	21392046	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	21392046	9606	0	0	0	0	0	0	0	0	0	0
RXRG	6258	83574	20183	F1D8Q7,F1T097,P48443	Q5BJR8	E9Q9V9,P28705	retinoid X receptor, gamma	NR2B3|RXRC	yes	10328854	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	10328854	9606	0	0	0	0	0	0	0	0	0	0
SALL3	27164	364910	20689	A9JR48,Q9BXA9		Q62255	sal-like 3 (Drosophila)	ZNF796	yes	19139273	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19139273	9606	0	0	0	0	0	0	0	0	0	0
SIX5	147912	308406	20475	Q8N196		P70178	SIX homeobox 5	BOR2|DMAHP	yes	17357085	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	17357085	9606	0	0	0	0	0	0	0	0	0	0
SOX13	9580	289026	20668	Q9UN79		Q04891	SRY (sex determining region Y)-box 13	ICA12|SOX-13	yes	10198172	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	TcoF-DB	10198172	10090	0	0	0	0	0	0	0	0	0	0
SOX14	8403	300954	20669	O95416	B7SZV3	Q497H4,Q04892,Q7TNS9,Q3UUP3	SRY (sex determining region Y)-box 14	SOX28	yes	10677261	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	0	TcoF-DB	10677261	10090	0	0	0	0	0	0	0	0	0	0
SP9	100131390	366078	381373	P0CG40	D3ZZ24	Q64HY3	Sp9 transcription factor	ZNF990	yes	15358670	Author statement	AnimalTFDB	Vaquerizas et al	0	0	0	0	0	0	0	15358670	10090	0	0	0	0	0	0	0	0	0	0
TBX10	347853	688822	109575	O75333	D3ZAQ3	Q810F8	T-box 10	TBX13|TBX7	yes	20162674	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	20162674	10090	0	0	0	0	0	0	0	0	0	0
TCF15	6939	296272	21407	A4LBB6,Q12870,Q6NVX3	D3ZEK9	A2ANR5,Q60756	transcription factor 15 (basic helix-loop-helix)	EC2|PARAXIS|BHLHA40	yes	8825648	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	8825648	10090	0	0	0	0	0	0	0	0	0	0
TSHZ1	10194	307217	110796	Q6ZSZ6,A7YF73		Q5DTH5	teashirt zinc finger homeobox 1	CAA|NY-CO-33|SDCCAG33|TSH1	yes	17586487	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	17586487	10090	0	0	0	0	0	0	0	0	0	0
TSHZ2	128553	0	228911	J3KNQ0,Q9NRE2,B7Z7W1		A2AHS4,Q68FE9	teashirt zinc finger homeobox 2	C20ORF17|OVC10-2|TSH2|ZABC2|ZNF218	yes	19745106	Author statement	AnimalTFDB	Vaquerizas et al	0	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	19745106	10090	0	0	0	0	0	0	0	0	0	0
TULP4	56995	499016	68842	Q9NRJ4	D3ZFM2	Q69ZK3,Q3UH13,Q9JIL5	tubby like protein 4	TUSP	yes	16854212	Author statement	AnimalTFDB	0	ORFeome	Ravasi et al	TFCat	0	0	DBD	0	16854212	10090	0	0	0	0	0	0	0	0	0	0
ZBTB42	100128927	691556	382639	B2RXF5	B1WBS3	Q811H0	zinc finger and BTB domain containing 42	ZNF925	yes	21193930	Author statement	AnimalTFDB	0	0	0	0	0	0	0	0	21193930	9606	0	0	0	0	0	0	0	0	0	0
ZBTB45	84878	308366	232879	Q96K62	D4A1A3	Q52KG4	zinc finger and BTB domain containing 45	ZNF499	yes	16636917	Author statement	AnimalTFDB	Vaquerizas et al	ORFeome	Ravasi et al	TFCat	0	0	DBD	TcoF-DB	16636917	0	0	0	0	0	0	0	0	0	0	0
