From	To
IPI00552663	Q5KU20
IPI00746807	O60241
IPI00028448	A8K0Y1
IPI00028448	B7ZA59
IPI00028448	O60242
IPI00397229	P48960
IPI00874160	Q9NYQ6
IPI00015346	Q9HCU4
IPI00848229	Q6ZMI9
IPI00848229	A8KA29
IPI00848229	B2R9D2
IPI00848229	Q9HBW9
IPI00742200	Q86SQ3
IPI00218001	Q8IZF7
IPI00645561	Q8IZF6
IPI00218000	B4DF15
IPI00218000	Q8IZF5
IPI00437186	Q8IZF2
IPI00437186	A8K0D8
IPI00255554	Q86SQ6
IPI00743456	D3DSW5
IPI00743456	Q96PE1
IPI00217481	Q86SQ4
IPI00064461	Q6ZMH4
IPI00064461	A1L441
IPI00064461	B7Z303
IPI00064461	Q96K78
IPI00394960	B2CKK9
IPI00394960	Q6QNK2
IPI00385573	A1E4E9
IPI00385573	Q7Z7M1
IPI00412420	Q9Y653
IPI00024754	A8K4P7
IPI00024754	B1AWB5
IPI00024754	Q8IZP9
IPI00024754	Q499H0
IPI00165934	Q8WXG9
IPI00183445	O94910
IPI00162547	Q9HAR2
IPI00162547	B7Z2G2
IPI00798152	Q9NYQ7
IPI00054521	B2RC95
IPI00054521	Q9UP38
IPI00026973	Q6NSL8
IPI00026973	Q9ULW2
IPI00016027	Q14332
IPI00424119	Q9NPG1
IPI00424119	A8K615
IPI00298743	A8K2X1
IPI00298743	B2RCZ1
IPI00298743	Q13467
IPI00024012	O75084
IPI00010807	Q9H461
IPI00020230	Q8TAN2
IPI00020230	O00144
IPI00018471	A4D1K5
IPI00018471	Q99835
IPI00018471	Q8NH34
IPI00018471	Q9Y2Y5
IPI00216479	P41180
IPI00216479	Q2F3K2
IPI00216479	E7ENE0
IPI00002756	Q71SG6
IPI00002756	Q9UBS5
IPI00027250	O75899
IPI00168860	Q8NFN8
IPI00412541	Q5T848
IPI00419908	Q6PRD1
IPI00022624	A8K556
IPI00022624	Q8NFJ5
IPI00008239	B7Z831
IPI00396108	Q9NQ84
IPI00032870	Q9NZD1
IPI00169389	Q5T6X5
IPI00012363	Q13255
IPI00030834	Q14416
IPI00030834	B0AZM5
