#id	mapped_name	kegg_name
39	Q96F25	hsa:199857
40	Q9P2X0	hsa:54344
41	O94777	hsa:8818
44	Q9Y672	hsa:29929
45	Q9BV10	hsa:79087
46	Q9H6U8	hsa:79796
47	Q92685	hsa:10195
71	Q09328|Q3V5L5	hsa:146664|hsa:4249
74	Q86YN1	hsa:57171
83	Q9BYC5	hsa:2530
84	Q9UBM8	hsa:25834
85	O60512|O60909|P15291	hsa:2683|hsa:8703|hsa:8704
86	P15907|Q96JF0	hsa:6480|hsa:84620
87	Q09327	hsa:4248
88	Q10469	hsa:4247
89	P49641|Q16706	hsa:4122|hsa:4124
90	Q9UKM7	hsa:11253
91	A6NG13|Q9UM21|Q9UQ53	hsa:11282|hsa:11320|hsa:152586
92	Q14697	hsa:23193
93	Q13724	hsa:7841
94	Q2TAA5	hsa:440138
95	P46977|Q8TCJ2	hsa:201595|hsa:3703
96	Q9Y673	hsa:29880
98	Q9H553	hsa:85365
99	Q9BT22	hsa:56052
100	Q9NP73	hsa:79868
101	O60762	hsa:8813
102	Q9H3H5	hsa:1798
104	Q9UPQ8	hsa:22845
143	Q5BKT4|Q5I7T1	hsa:144245|hsa:84920
144	Q9BV10	hsa:79087
145	Q9BVK2	hsa:79053
146	Q9Y672	hsa:29929
147	Q2TAA5	hsa:440138
148	Q2TAA5	hsa:440138
149	Q9H6U8	hsa:79796
150	Q9H6U8	hsa:79796
151	Q92685	hsa:10195
152	Q9H553	hsa:85365
153	Q9H553	hsa:85365
154	Q9BT22	hsa:56052
155	Q96F25|Q9NP73	hsa:199857|hsa:79868
156	Q9H3H5	hsa:1798
157	Q13724	hsa:7841
158	P49641|Q16706	hsa:4122|hsa:4124
159	Q14697	hsa:23193
160	Q14697	hsa:23193
161	O60476|P33908|Q9NR34	hsa:10905|hsa:4121|hsa:57134
162	O60476|P33908|Q9NR34	hsa:10905|hsa:4121|hsa:57134
163	Q9UKM7	hsa:11253
164	O60476|P33908|Q9NR34	hsa:10905|hsa:4121|hsa:57134
165	P49641|Q16706	hsa:4122|hsa:4124
171	Q09328|Q3V5L5	hsa:146664|hsa:4249
172	A6NG13|Q9UM21|Q9UQ53	hsa:11282|hsa:11320|hsa:152586
173	P15907|Q96JF0	hsa:6480|hsa:84620
174	Q10469	hsa:4247
180	Q9BYC5	hsa:2530
181	Q9UBM8	hsa:25834
182	O60512|O60909|P15291	hsa:2683|hsa:8703|hsa:8704
183	Q09327	hsa:4248
184	P15907|Q96JF0	hsa:6480|hsa:84620
185	O60512|O60909|P15291	hsa:2683|hsa:8703|hsa:8704
186	P26572	hsa:4245
187	P04843|P04844|P39656|P61803|Q13454	hsa:1603|hsa:1650|hsa:6184|hsa:6185|hsa:7991
188	Q9H553	hsa:85365
189	Q2TAA5	hsa:440138
190	Q9H6U8	hsa:79796
191	Q9BVK2	hsa:79053
192	Q5BKT4|Q5I7T1	hsa:144245|hsa:84920
195	Q14697	hsa:23193
196	P26572	hsa:4245
202	Q9H8P0	hsa:79644
208	O60476|P33908|Q9NR34	hsa:10905|hsa:4121|hsa:57134
