#IPI	UniProt
IPI00004503	P11279
IPI00011041	P58170
IPI00019883	P43627
IPI00026133	P49190
IPI00163641	Q16620
IPI00169123	Q8NGT1
IPI00218987	Q13349
IPI00219489	Q9NR96
IPI00297420	Q9ULV1
IPI00303553	Q8NGN2
IPI00303581	Q8NGP4
IPI00306851	O75096
IPI00385705	Q8NHL6
IPI00398715	O14786
IPI00412711	Q96GP6
IPI00430196	P35348
IPI00641868	O95490
IPI00657988	Q6IF63
IPI00719576	P43628
IPI00745296	P29317
IPI00747706	Q8NFR9
IPI00845449	P43629
IPI00853389	Q6UVW9
IPI00873411	O15197
IPI00883735	O60353
IPI00884093	Q02763
